,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
December 2009,2464750.0,364000.0,-2413500.0,,,
March 2010,2464750.0,364000.0,-2413500.0,,,
June 2010,2464750.0,364000.0,-2413500.0,,,
September 2010,2464750.0,364000.0,-2413500.0,1008000.0,869000.0,139000.0
December 2010,1739000.0,402000.0,4750.0,,,
March 2011,1739000.0,402000.0,4750.0,,,
June 2011,1739000.0,402000.0,4750.0,,,
September 2011,1739000.0,402000.0,4750.0,3727000.0,340000.0,0.0
