,NetIncomeLoss,Assets
March 2011,1749.0,
June 2011,1749.0,967716000.0
September 2011,1749.0,988943000.0
December 2011,1749.0,1017449000.0
March 2012,1902.0,1054517000.0
June 2012,1902.0,
September 2012,1902.0,1050491000.0
December 2012,1902.0,1090363000.0
March 2013,2469.0,1114933000.0
June 2013,2469.0,1064837000.0
September 2013,2469.0,1078417000.0
December 2013,2469.0,1093833.0
March 2014,2262000.0,1128165.0
June 2014,2597000.0,1114973000.0
September 2014,2726000.0,1130684000.0
December 2014,2657000.0,1170995000.0
March 2015,2617000.0,1219287000.0
June 2015,2702000.0,1213250000.0
September 2015,2719000.0,1230896000.0
December 2015,2268000.0,1260310000.0
