,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2010,43051666.666666664,,
June 2010,43051666.666666664,,
September 2010,43051666.666666664,,
December 2010,9389000.0,607047000.0,100113000.0
March 2011,35704000.0,,
June 2011,37302000.0,635960000.0,101580000.0
September 2011,32739000.0,638632000.0,104848000.0
December 2011,33020000.0,622048000.0,92652000.0
March 2012,33615000.0,624547000.0,100642000.0
June 2012,33882000.0,615519000.0,101321000.0
September 2012,34421000.0,616927000.0,120264000.0
December 2012,34236000.0,598102000.0,89655000.0
March 2013,35780000.0,600180000.0,93200000.0
