,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2009,123552750.0,11058000.0,1225000.0,,
June 2009,123552750.0,11058000.0,1225000.0,,
September 2009,123552750.0,11058000.0,1225000.0,,
December 2009,123552750.0,11058000.0,1225000.0,,
March 2010,137574000.0,12752000.0,2065000.0,,
June 2010,150236000.0,13132000.0,4573000.0,,
September 2010,151807000.0,11877000.0,2932000.0,,
December 2010,150959000.0,-7298000.0,3174000.0,212048000.0,101497000.0
March 2011,153800000.0,12723000.0,12416000.0,,
June 2011,173850000.0,13223000.0,14224000.0,224102000.0,112649000.0
September 2011,179124000.0,13116000.0,14125000.0,228588000.0,117543000.0
December 2011,417830000.0,-9197000.0,10681000.0,228944000.0,109340000.0
March 2012,170470000.0,7438000.0,3598000.0,230683000.0,113013000.0
June 2012,177544000.0,9276000.0,15745000.0,231771000.0,110363000.0
September 2012,238005000.0,13923000.0,5512000.0,346034000.0,129967000.0
December 2012,0.0,0.0,2452000.0,327369000.0,169138000.0
March 2013,228858000.0,7802000.0,11374000.0,331117000.0,175282000.0
June 2013,240543000.0,8739000.0,14154000.0,335382000.0,183140000.0
September 2013,239183000.0,7904000.0,13742000.0,335248000.0,182756000.0
December 2013,0.0,-670000.0,11302000.0,490136000.0,203389000.0
March 2014,264735000.0,10091000.0,8124000.0,511344000.0,221389000.0
June 2014,283136000.0,10451000.0,13633000.0,528512000.0,228157000.0
September 2014,279128000.0,9784000.0,13094000.0,524292000.0,222277000.0
December 2014,283687000.0,14488000.0,10519000.0,529014000.0,216280000.0
March 2015,248494000.0,9006000.0,8164000.0,536009000.0,230602000.0
June 2015,272087000.0,9266000.0,13284000.0,539415000.0,236617000.0
September 2015,267270000.0,9452000.0,9247000.0,527862000.0,230341000.0
December 2015,267527000.0,9786000.0,9306000.0,503155000.0,209531000.0
March 2016,246464000.0,8350000.0,7477000.0,534194000.0,196616000.0
June 2016,260039000.0,9139000.0,9047000.0,536993000.0,201957000.0
September 2016,261466000.0,9087000.0,4997000.0,558231000.0,203617000.0
December 2016,258202000.0,11850000.0,2723000.0,570457000.0,207451000.0
March 2017,275273000.0,,4318000.0,583073000.0,212473000.0
June 2017,298782000.0,,2739000.0,596479000.0,221606000.0
September 2017,316485000.0,,-3305000.0,603855000.0,228132000.0
December 2017,300911000.0,,24401000.0,610592000.0,228666000.0
March 2018,318009000.0,,10434000.0,662468000.0,253486000.0
June 2018,339673000.0,,17669000.0,687911000.0,269131000.0
September 2018,351762000.0,,15055000.0,768960000.0,274398000.0
December 2018,368470000.0,,9020000.0,843147000.0,275258000.0
March 2019,350893000.0,,17297000.0,919725000.0,275464000.0
June 2019,352459000.0,,19972000.0,928184000.0,265228000.0
September 2019,382838000.0,,-8420000.0,934729000.0,266792000.0
December 2019,360428000.0,,8737000.0,995435000.0,271843000.0
March 2020,358254000.0,,12163000.0,1016162000.0,275993000.0
June 2020,247141000.0,,6168000.0,963425000.0,241892000.0
September 2020,342925000.0,,13578000.0,1056866000.0,315181000.0
December 2020,362404000.0,,16223000.0,1063049000.0,321524000.0
March 2021,384075000.0,,21656000.0,1054672000.0,329883000.0
June 2021,391470000.0,,25604000.0,1082220000.0,359159000.0
September 2021,428880000.0,,10273000.0,1121007000.0,396138000.0
December 2021,443595000.0,,16200000.0,1137491000.0,420695000.0
March 2022,466013000.0,,42008000.0,1189162000.0,477752000.0
June 2022,462531000.0,,44699000.0,1191466000.0,482629000.0
