,NetIncomeLoss,Assets,AssetsCurrent
March 2019,62750000.0,,
June 2019,62750000.0,,
September 2019,62750000.0,,
December 2019,62750000.0,,
March 2020,-64000000.0,,
June 2020,17000000.0,,
September 2020,-51000000.0,,
December 2020,-127000000.0,3554000000.0,650000000.0
March 2021,-91000000.0,3680000000.0,720000000.0
June 2021,19000000.0,4288000000.0,1226000000.0
September 2021,23000000.0,4252000000.0,1092000000.0
December 2021,-53000000.0,4235000000.0,1037000000.0
March 2022,-121000000.0,4136000000.0,876000000.0
June 2022,13000000.0,4245000000.0,954000000.0
