,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
March 2010,1088282.0,,,
June 2010,1088282.0,,,
September 2010,1012398.0,,,
December 2010,1239019.0,,6209491.0,4429486.0
March 2011,1202780.0,,,
June 2011,1351278.0,,,
September 2011,1281695.0,,7735881.0,5757329.0
December 2011,1355298.0,,6555120.0,4591704.0
March 2012,1580445.0,,6182315.0,4222562.0
June 2012,1514045.0,,10218713.0,8228068.0
September 2012,1691030.0,,8772488.0,6805717.0
December 2012,1473979.0,,9935820.0,7996475.0
March 2013,1674666.0,,9937515.0,8045125.0
June 2013,1438419.0,,10273789.0,8424359.0
September 2013,1373232.0,,10730621.0,8933337.0
December 2013,1411746.0,,11588829.0,9825528.0
March 2014,1710084.0,,11461643.0,9729755.0
June 2014,1627259.0,,12458765.0,10719818.0
September 2014,1716544.0,,15075081.0,11043470.0
December 2014,1503572.0,,16820631.0,12831815.0
March 2015,2128414.0,,17909063.0,13914774.0
June 2015,2731843.0,,22428787.0,15220237.0
September 2015,2310315.0,,21448892.0,14458636.0
December 2015,2441387.0,,22869452.0,15919104.0
March 2016,2434368.0,,21279460.0,14422326.0
June 2016,2379155.0,,21689848.0,14978429.0
September 2016,2463456.0,,20866984.0,14076159.0
December 2016,5007861.0,,26465797.0,17230788.0
March 2017,4155010.0,,53679399.0,16170343.0
June 2017,3844423.0,,53666988.0,16709260.0
September 2017,3796671.0,,53465072.0,17794270.0
December 2017,5653031.0,,52695415.0,19229815.0
March 2018,4678911.0,,49840579.0,16662619.0
June 2018,4004661.0,,50173685.0,17482757.0
September 2018,3640921.0,,50106913.0,18372261.0
December 2018,4068318.0,,52482334.0,21997114.0
March 2019,3626735.0,17547431.0,48648358.0,20459900.0
June 2019,3302725.0,-1091448.0,47075661.0,19369226.0
September 2019,3101985.0,-1263156.0,45121265.0,17929340.0
December 2019,4715659.0,,45169549.0,9745221.0
March 2020,4055982.0,-1850623.0,44203620.0,9124273.0
June 2020,4325935.0,-2454661.0,45551051.0,10977352.0
September 2020,3271049.0,-1276399.0,43785521.0,9739479.0
December 2020,18017904.0,-12886805.0,31980125.0,11956789.0
March 2021,3277261.0,-920311.0,30268188.0,10709357.0
June 2021,1801547.0,-46888.0,29284859.0,10133570.0
September 2021,4377892.0,1212071.0,30507275.0,10748629.0
December 2021,4155601.0,-2491451.0,28885003.0,9450799.0
March 2022,3012663.0,-870479.0,26324006.0,6887546.0
June 2022,3232177.0,-8276194.0,18696255.0,5927335.0
