,NetIncomeLoss,Assets
March 2010,-8561750.0,
June 2010,-8561750.0,
September 2010,-8561750.0,
December 2010,-8561750.0,
March 2011,-7449000.0,
June 2011,1284000.0,
September 2011,15258000.0,
December 2011,7026000.0,2264957000.0
March 2012,19050000.0,2367497000.0
June 2012,18678000.0,2424947000.0
September 2012,21343000.0,2507941000.0
December 2012,21497000.0,2631230000.0
March 2013,10940000.0,2508251000.0
June 2013,12068000.0,2776124000.0
September 2013,1662000.0,2854323000.0
December 2013,-861000.0,3066054000.0
March 2014,2301000.0,3124812000.0
June 2014,9362000.0,3235676000.0
September 2014,4975000.0,3474656000.0
December 2014,5621000.0,3535090000.0
March 2015,10304000.0,4604403000.0
June 2015,12376000.0,4866248000.0
September 2015,9961000.0,4975653000.0
December 2015,8678000.0,4894495000.0
March 2016,6407000.0,5417252000.0
June 2016,21749000.0,5941178000.0
September 2016,27701000.0,6226601000.0
December 2016,2294000.0,6243700000.0
March 2017,8983000.0,6401143000.0
June 2017,11209000.0,6586557000.0
September 2017,13839000.0,6796346000.0
December 2017,34915000.0,6742041000.0
March 2018,5866000.0,6924056000.0
June 2018,7099000.0,7163877000.0
September 2018,11835000.0,7029082000.0
December 2018,15227000.0,7042221000.0
March 2019,-1715000.0,7171405000.0
June 2019,-5588000.0,7200790000.0
September 2019,13827000.0,6835878000.0
December 2019,10988000.0,6812435000.0
March 2020,7139000.0,6806718000.0
June 2020,18904000.0,7351118000.0
September 2020,26349000.0,7409641000.0
December 2020,27598000.0,7237091000.0
March 2021,29663000.0,7265191000.0
June 2021,29157000.0,7167951000.0
September 2021,27170000.0,7372451000.0
December 2021,29432000.0,7204091000.0
March 2022,19951000.0,7510894000.0
June 2022,17721000.0,8582886000.0
