,OperatingExpenses,Assets,AssetsCurrent
March 2009,17910500.0,,
June 2009,17910500.0,,
September 2009,17910500.0,,
December 2009,17910500.0,,
March 2010,17601000.0,,
June 2010,17022000.0,,
September 2010,17401000.0,,
December 2010,21113000.0,485094000.0,328628000.0
March 2011,18725000.0,,
June 2011,23560000.0,417445000.0,258235000.0
September 2011,24870000.0,410278000.0,258979000.0
December 2011,22063000.0,409374000.0,248621000.0
March 2012,20984000.0,412014000.0,250408000.0
June 2012,21394000.0,410560000.0,249963000.0
September 2012,20893000.0,414482000.0,253396000.0
December 2012,22763000.0,425667000.0,256332000.0
March 2013,19769000.0,416858000.0,273120000.0
June 2013,22689000.0,451992000.0,305505000.0
