,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2018,34050000.0,124825000.0,,
June 2018,34050000.0,124825000.0,,
September 2018,34050000.0,124825000.0,,
December 2018,34050000.0,124825000.0,,
March 2019,33600000.0,122300000.0,,
June 2019,33600000.0,122300000.0,,
September 2019,34800000.0,118300000.0,,
December 2019,34400000.0,128400000.0,2828900000.0,825200000.0
March 2020,32900000.0,123100000.0,,
June 2020,29200000.0,111800000.0,,
September 2020,31600000.0,121100000.0,2603700000.0,756300000.0
December 2020,32500000.0,152400000.0,3073000000.0,1182100000.0
March 2021,33200000.0,145700000.0,3284100000.0,1411200000.0
June 2021,32900000.0,164600000.0,3339700000.0,1469700000.0
September 2021,31200000.0,147800000.0,4171600000.0,1321100000.0
December 2021,32000000.0,163500000.0,4349800000.0,1478200000.0
March 2022,34500000.0,166000000.0,4300100000.0,1257100000.0
June 2022,34900000.0,176700000.0,4219200000.0,1345900000.0
