,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2010,53256.0,106431.0,,
June 2010,147505.0,14833.0,,
September 2010,119979.0,-51432.0,,
December 2010,121474.0,-52753.0,6291835.0,3745564.0
March 2011,164639.0,-70706.0,,
June 2011,197548.0,-198450.0,6961647.0,3676535.0
September 2011,133205.0,-384558.0,6593400.0,3193692.0
December 2011,124548.0,-236892.0,5731249.0,2426467.0
March 2012,96822.0,-189763.0,6057362.0,2864408.0
June 2012,70567.0,10606.0,6014263.0,2456929.0
September 2012,62646.0,90749.0,6203060.0,2778569.0
December 2012,79781.0,-237564.0,5404560.0,2108618.0
March 2013,64120.0,-261556.0,5042140.0,1802361.0
June 2013,78083.0,-57564.0,5008757.0,1912962.0
September 2013,112365.0,-70284.0,5691283.0,2726717.0
December 2013,69467.0,101758.0,5871217.0,3022842.0
March 2014,85606.0,27272.0,6669381.0,3651371.0
June 2014,72202.0,50534.0,5598884.0,2609921.0
September 2014,56619.0,-66832.0,5728529.0,2834440.0
December 2014,92656.0,-230898.0,6036714.0,3248384.0
March 2015,97643.0,102516.0,5970546.0,3277820.0
June 2015,91221.0,87088.0,5424628.0,2805845.0
September 2015,136900.0,-183440.0,5199383.0,2690394.0
December 2015,112903.0,-155461.0,4353288.0,1943536.0
March 2016,80076.0,-230889.0,4566040.0,2263936.0
June 2016,74417.0,-177301.0,4623289.0,2238127.0
September 2016,87246.0,-77412.0,4218666.0,1927635.0
December 2016,77737.0,-220452.0,3625473.0,1437948.0
March 2017,82612.0,-40448.0,4198831.0,2012834.0
June 2017,79175.0,69321.0,5363288.0,3258235.0
September 2017,90927.0,-25353.0,4253821.0,2230292.0
December 2017,78091.0,2571.0,3949574.0,2012430.0
March 2018,65839.0,77237.0,5278915.0,3250658.0
June 2018,87696.0,321010.0,7059700.0,5123105.0
September 2018,98514.0,144126.0,7450749.0,5395659.0
December 2018,99950.0,365496.0,7645559.0,5647041.0
March 2019,108869.0,155342.0,8079369.0,5492243.0
June 2019,94600.0,166418.0,8240866.0,5774215.0
September 2019,80203.0,62332.0,7754204.0,5187775.0
December 2019,82820.0,-78741.0,7505075.0,5031423.0
March 2020,86904.0,81516.0,6558986.0,4057820.0
June 2020,90421.0,20460.0,5723655.0,3340202.0
September 2020,83276.0,58499.0,6637413.0,4189093.0
December 2020,77222.0,1341288.0,8050182.0,4688714.0
March 2021,38219.0,652585.0,10717177.0,7260699.0
June 2021,54377.0,121548.0,12142191.0,8629605.0
September 2021,56612.0,668682.0,10051563.0,6793113.0
December 2021,86471.0,236009.0,9608402.0,6424094.0
March 2022,87031.0,384401.0,9961819.0,6876019.0
June 2022,92085.0,664873.0,12876986.0,9892179.0
