,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2012,15400000.0,14800000.0,-2200000.0,,
June 2012,14100000.0,14200000.0,700000.0,800100000.0,160600000.0
September 2012,15800000.0,15500000.0,-300000.0,813300000.0,160300000.0
December 2012,,,,833700000.0,172000000.0
March 2013,16500000.0,16500000.0,-500000.0,816300000.0,172100000.0
June 2013,17300000.0,17300000.0,400000.0,825300000.0,178000000.0
September 2013,16400000.0,16400000.0,3000000.0,844800000.0,183700000.0
December 2013,,,,868700000.0,198900000.0
March 2014,17800000.0,17800000.0,200000.0,851700000.0,187800000.0
June 2014,17100000.0,17100000.0,3900000.0,875000000.0,212500000.0
September 2014,18000000.0,18000000.0,8400000.0,902400000.0,221900000.0
