,OperatingExpenses,NetIncomeLoss,Assets
March 2011,757700000.0,-22025000.0,
June 2011,757700000.0,-22025000.0,
September 2011,757700000.0,-22025000.0,
December 2011,757700000.0,-22025000.0,
March 2012,759400000.0,-505200000.0,
June 2012,712600000.0,634400000.0,
September 2012,858900000.0,366500000.0,
December 2012,824100000.0,-22700000.0,216394200000.0
March 2013,759100000.0,-212000000.0,
June 2013,770200000.0,-82200000.0,217123500000.0
September 2013,762800000.0,346600000.0,217658200000.0
December 2013,394600000.0,548100000.0,221023200000.0
March 2014,789500000.0,262100000.0,223510700000.0
June 2014,758300000.0,246300000.0,228078000000.0
September 2014,767300000.0,405800000.0,224303800000.0
December 2014,1147100000.0,1394500000.0,226951400000.0
March 2015,768800000.0,189600000.0,229048200000.0
June 2015,771000000.0,285200000.0,226585100000.0
September 2015,750900000.0,40300000.0,218711200000.0
December 2015,812300000.0,-106800000.0,218249600000.0
March 2016,720200000.0,191600000.0,214007700000.0
June 2016,716400000.0,162000000.0,217065400000.0
September 2016,723600000.0,-248100000.0,218622200000.0
December 2016,777100000.0,-417000000.0,214235100000.0
March 2017,738800000.0,-143500000.0,217025500000.0
June 2017,630000000.0,167000000.0,219838800000.0
September 2017,731200000.0,148600000.0,226643900000.0
December 2017,554000000.0,-3165000000.0,222532000000.0
March 2018,700000000.0,446000000.0,219824000000.0
June 2018,645000000.0,166000000.0,162740000000.0
September 2018,656000000.0,142000000.0,165036000000.0
December 2018,690000000.0,121000000.0,155382000000.0
March 2019,702000000.0,66000000.0,161985000000.0
June 2019,687000000.0,226000000.0,165162000000.0
September 2019,629000000.0,133000000.0,166850000000.0
December 2019,767000000.0,-772000000.0,168990000000.0
March 2020,640000000.0,-84000000.0,155732000000.0
June 2020,643000000.0,-62000000.0,166934000000.0
September 2020,630000000.0,-319000000.0,171466000000.0
December 2020,741000000.0,261000000.0,180518000000.0
March 2021,602000000.0,1100000000.0,162861000000.0
June 2021,706000000.0,463000000.0,168194000000.0
September 2021,642000000.0,156000000.0,168417000000.0
December 2021,636000000.0,407000000.0,171262000000.0
March 2022,632000000.0,41000000.0,161806000000.0
June 2022,605000000.0,68000000.0,147520000000.0
