,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
September 2009,2426000.0,12098750.0,-5558250.0,,
December 2009,2426000.0,12098750.0,-5558250.0,2802496000.0,
March 2010,2426000.0,12098750.0,-5558250.0,,
June 2010,2426000.0,12098750.0,-5558250.0,,
September 2010,1757000.0,11032000.0,-1122000.0,,
December 2010,2021000.0,11540000.0,-5708000.0,3080281000.0,
March 2011,2053000.0,10877000.0,-2110000.0,,
June 2011,1975000.0,11742000.0,-4020000.0,,
September 2011,1625000.0,12385000.0,-4494000.0,,
December 2011,1703000.0,11487000.0,-4221000.0,3247099000.0,
March 2012,1588000.0,11854000.0,-3411000.0,,
June 2012,1377000.0,12202000.0,-27143000.0,,
September 2012,1011000.0,11415000.0,-3691000.0,,
December 2012,968000.0,10892000.0,-5674000.0,2964952000.0,
March 2013,989000.0,11032000.0,-5770000.0,,
June 2013,921000.0,10315000.0,-3102000.0,,
September 2013,817000.0,10529000.0,-2787000.0,,
December 2013,832000.0,10084000.0,-3566000.0,2531000.0,
March 2014,849000.0,10605000.0,-455000.0,,
June 2014,643000.0,10583000.0,-3169000.0,,
September 2014,791000.0,10285000.0,-3729000.0,,
December 2014,834000.0,9670000.0,-4091000.0,2132000.0,
March 2015,809000.0,10146000.0,-2907000.0,,
June 2015,916000.0,10968000.0,8442000.0,,
September 2015,867000.0,10225000.0,4434000.0,,
December 2015,861000.0,11280000.0,6832000.0,2149000.0,
March 2016,882000.0,10869000.0,-2115000.0,,
June 2016,914000.0,11367000.0,36135000.0,,
September 2016,822000.0,11474000.0,-1474000.0,,
December 2016,483000.0,11165000.0,-1053000.0,2184000.0,
March 2017,766000.0,10534000.0,-71000.0,,
June 2017,857000.0,10837000.0,94000.0,,
September 2017,747000.0,10891000.0,-640000.0,,
December 2017,812000.0,11049000.0,-901000.0,1849000.0,
March 2018,799000.0,11025000.0,-3016000.0,,
June 2018,852000.0,11500000.0,-5764000.0,,
September 2018,728000.0,10970000.0,-5981000.0,,
December 2018,833000.0,11497000.0,-8408000.0,2064000.0,
March 2019,781000.0,10920000.0,22265000.0,,
June 2019,833000.0,10878000.0,-5390000.0,,
September 2019,1054000.0,11139000.0,-7648000.0,,
December 2019,1065000.0,10693000.0,-7687000.0,,
March 2020,1163000.0,11061000.0,-9860000.0,,
June 2020,1166000.0,10067000.0,-3325000.0,,
September 2020,746000.0,10014000.0,299000.0,,
December 2020,806000.0,11013000.0,2302000.0,,
March 2021,836000.0,12082000.0,2006000.0,,
June 2021,864000.0,11796000.0,3268000.0,,
September 2021,744000.0,11052000.0,-2319000.0,,
December 2021,820000.0,14466000.0,-2655000.0,,
March 2022,1133000.0,11442000.0,-4854000.0,,
June 2022,1070000.0,11058000.0,-8433000.0,,
