,OperatingExpenses,Assets,AssetsCurrent
March 2008,93800750.0,,
June 2008,93800750.0,,
September 2008,93800750.0,,
December 2008,93800750.0,,
March 2009,64402000.0,,
June 2009,69046000.0,,
September 2009,72117000.0,,
December 2009,69442000.0,800070000.0,585504000.0
March 2010,73769000.0,,
June 2010,83674000.0,964895000.0,769213000.0
September 2010,90371000.0,1026680000.0,842533000.0
December 2010,84612000.0,1082131000.0,898153000.0
March 2011,97082000.0,1131992000.0,955819000.0
June 2011,111739000.0,1233570000.0,1054135000.0
September 2011,118217000.0,1218428000.0,1038732000.0
December 2011,110848000.0,1362399000.0,1182677000.0
March 2012,114884000.0,1470745000.0,1284463000.0
June 2012,137235000.0,1601517000.0,1414257000.0
September 2012,132907000.0,1318922000.0,1128937000.0
December 2012,130007000.0,1043325000.0,835068000.0
March 2013,144733000.0,1147372000.0,936699000.0
June 2013,156835000.0,1317842000.0,1093822000.0
September 2013,156041000.0,1511867000.0,1278457000.0
December 2013,142406000.0,1420509000.0,1183043000.0
March 2014,137955000.0,1593583000.0,1355213000.0
June 2014,163475000.0,1769019000.0,1487353000.0
September 2014,152013000.0,1862878000.0,1617479000.0
December 2014,138862000.0,1938875000.0,1693429000.0
March 2015,361328000.0,2084946000.0,1841895000.0
June 2015,189839000.0,5791581000.0,3922379000.0
September 2015,174038000.0,5603738000.0,3750647000.0
December 2015,174913000.0,5571277000.0,3599532000.0
March 2016,168385000.0,5883484000.0,3792872000.0
June 2016,229291000.0,4038056000.0,1292825000.0
September 2016,212600000.0,4236431000.0,1550024000.0
December 2016,246386000.0,4153471000.0,1432270000.0
March 2017,216612000.0,4349747000.0,1616816000.0
June 2017,233456000.0,4684131000.0,1880079000.0
September 2017,252337000.0,4708906000.0,1934297000.0
December 2017,236498000.0,4791012000.0,2086377000.0
March 2018,235342000.0,4740132000.0,2038548000.0
June 2018,262637000.0,4542070000.0,1828679000.0
September 2018,268086000.0,4871359000.0,2152671000.0
December 2018,245691000.0,4526891000.0,1804170000.0
March 2019,262071000.0,4655851000.0,1907300000.0
June 2019,282293000.0,5084332000.0,2326768000.0
September 2019,277559000.0,5137366000.0,2360760000.0
December 2019,293723000.0,5150352000.0,2316309000.0
March 2020,272208000.0,4881497000.0,2048722000.0
June 2020,252205000.0,5193813000.0,2371450000.0
September 2020,277930000.0,5697683000.0,2825847000.0
December 2020,288384000.0,6202716000.0,3140955000.0
March 2021,300789000.0,6534366000.0,3433872000.0
June 2021,310863000.0,7071543000.0,3950675000.0
September 2021,344694000.0,7449408000.0,4383673000.0
December 2021,354700000.0,7804784000.0,4682110000.0
March 2022,377178000.0,8187459000.0,4743666000.0
June 2022,406910000.0,8175012000.0,4696620000.0
