,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2009,205275000.0,-93350000.0,,
June 2009,205275000.0,-93350000.0,,
September 2009,205275000.0,-93350000.0,,
December 2009,205275000.0,-93350000.0,,
March 2010,226950000.0,-2400000.0,,
June 2010,226950000.0,-2400000.0,,
September 2010,235800000.0,-300000.0,,
December 2010,242400000.0,-24100000.0,5943800000.0,1702300000.0
March 2011,229300000.0,-4200000.0,,
June 2011,243400000.0,-34800000.0,,
September 2011,252800000.0,37100000.0,5965000000.0,1862100000.0
December 2011,264600000.0,19000000.0,5949600000.0,1879400000.0
March 2012,251600000.0,10900000.0,5721400000.0,1701300000.0
June 2012,259500000.0,36800000.0,5935500000.0,1964300000.0
September 2012,257000000.0,38000000.0,5985100000.0,2060000000.0
December 2012,261400000.0,33300000.0,5700100000.0,1814800000.0
March 2013,251500000.0,28300000.0,5822700000.0,1986100000.0
June 2013,266400000.0,46700000.0,6020500000.0,2233700000.0
September 2013,332400000.0,-2200000.0,6038800000.0,2285700000.0
December 2013,270600000.0,60000000.0,5924600000.0,2213500000.0
March 2014,260900000.0,50900000.0,5912500000.0,2247900000.0
June 2014,273900000.0,86600000.0,6045300000.0,2415300000.0
September 2014,285400000.0,55600000.0,6107400000.0,2516200000.0
December 2014,290100000.0,51800000.0,6099900000.0,2453400000.0
March 2015,275500000.0,54700000.0,6088600000.0,2485900000.0
June 2015,290600000.0,108200000.0,6251200000.0,2714400000.0
September 2015,321400000.0,150900000.0,6741500000.0,2734900000.0
December 2015,338500000.0,89300000.0,6755300000.0,2790800000.0
March 2016,329300000.0,77800000.0,6717900000.0,2816300000.0
June 2016,344700000.0,117500000.0,6887900000.0,3075300000.0
September 2016,334900000.0,125900000.0,6772800000.0,2997800000.0
December 2016,336200000.0,103200000.0,6948400000.0,3238100000.0
March 2017,347400000.0,57600000.0,6774700000.0,3097600000.0
June 2017,363500000.0,141000000.0,7041600000.0,3396700000.0
September 2017,352000000.0,129300000.0,7101800000.0,3492500000.0
December 2017,347200000.0,195200000.0,6966700000.0,3396300000.0
March 2018,362700000.0,127000000.0,7027900000.0,3479900000.0
June 2018,381400000.0,173000000.0,7330100000.0,3844700000.0
September 2018,390700000.0,183700000.0,7375400000.0,3949500000.0
December 2018,402300000.0,159300000.0,7167700000.0,3796800000.0
March 2019,404000000.0,152900000.0,7679500000.0,4132500000.0
June 2019,420400000.0,196600000.0,7921900000.0,4425300000.0
September 2019,495900000.0,201700000.0,7703100000.0,4295300000.0
December 2019,392800000.0,185600000.0,7999400000.0,4334100000.0
March 2020,510700000.0,167900000.0,8222400000.0,4665800000.0
June 2020,463800000.0,189100000.0,8749500000.0,5235800000.0
September 2020,507700000.0,193200000.0,9223700000.0,5759600000.0
December 2020,548700000.0,238300000.0,9344700000.0,5953500000.0
March 2021,471800000.0,232600000.0,9053500000.0,5469800000.0
June 2021,512900000.0,274100000.0,8990900000.0,5421600000.0
September 2021,528500000.0,266600000.0,9011600000.0,5292200000.0
December 2021,636300000.0,215300000.0,13199400000.0,6478100000.0
March 2022,717200000.0,250200000.0,13513800000.0,6870800000.0
June 2022,732900000.0,279300000.0,13653100000.0,7039800000.0
