,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2009,,5661250.0,-23535500.0,,
June 2009,,5661250.0,-23535500.0,,
September 2009,,5661250.0,-23535500.0,,
December 2009,,5661250.0,-23535500.0,,
March 2010,1225000.0,6226000.0,8899000.0,,
June 2010,1225000.0,7323000.0,10089000.0,,
September 2010,1225000.0,8337000.0,10397000.0,,
December 2010,1225000.0,6399000.0,22258000.0,572442000.0,381612000.0
March 2011,1325000.0,6692000.0,8054000.0,,
June 2011,1325000.0,6354000.0,14700000.0,588804000.0,398725000.0
September 2011,1325000.0,6607000.0,4228000.0,566811000.0,395173000.0
December 2011,1325000.0,6235000.0,40187000.0,593231000.0,404283000.0
March 2012,1450000.0,6885000.0,6733000.0,606956000.0,415048000.0
June 2012,1450000.0,7490000.0,6414000.0,607857000.0,426798000.0
September 2012,1450000.0,5960000.0,15056000.0,605504000.0,425604000.0
December 2012,1450000.0,7392000.0,2688000.0,599601000.0,404908000.0
March 2013,1200000.0,7209000.0,4934000.0,613559000.0,412434000.0
June 2013,1200000.0,7090000.0,6324000.0,610172000.0,408816000.0
September 2013,1200000.0,8255000.0,5171000.0,638986000.0,401149000.0
December 2013,1200000.0,6914000.0,6395000.0,653388000.0,384218000.0
March 2014,1100000.0,7934000.0,4822000.0,661111000.0,364482000.0
June 2014,1100000.0,7288000.0,5039000.0,643927000.0,331360000.0
September 2014,1100000.0,9955000.0,-2419000.0,605707000.0,297849000.0
December 2014,1100000.0,7132000.0,1361000.0,579910000.0,276011000.0
March 2015,650000.0,7553000.0,4334000.0,566507000.0,265396000.0
June 2015,650000.0,8881000.0,6534000.0,561435000.0,266084000.0
September 2015,650000.0,8425000.0,4946000.0,548860000.0,259172000.0
December 2015,650000.0,10064000.0,8130000.0,539929000.0,245820000.0
March 2016,950000.0,8993000.0,14464000.0,540024000.0,248120000.0
June 2016,950000.0,10000000.0,13165000.0,537837000.0,253692000.0
September 2016,950000.0,5731000.0,5974000.0,533208000.0,247545000.0
December 2016,950000.0,6878000.0,7778000.0,542756000.0,254081000.0
March 2017,1925000.0,15260000.0,3102000.0,563356000.0,255172000.0
June 2017,1925000.0,22103000.0,-7272000.0,1626330000.0,508624000.0
September 2017,1925000.0,18135000.0,2615000.0,1563355000.0,410834000.0
December 2017,1925000.0,25881000.0,-4648000.0,1551252000.0,417383000.0
March 2018,1425000.0,22357000.0,10317000.0,1617801000.0,448798000.0
June 2018,1425000.0,22289000.0,8135000.0,1529874000.0,426762000.0
September 2018,1425000.0,15985000.0,-663000.0,1530140000.0,403516000.0
December 2018,1425000.0,17091000.0,8172000.0,1451616000.0,370421000.0
March 2019,,14483000.0,1950000.0,1460171000.0,381582000.0
June 2019,,15964000.0,7270000.0,1467890000.0,383849000.0
September 2019,,16290000.0,-6631000.0,1403362000.0,366160000.0
December 2019,,17146000.0,-99049000.0,1311867000.0,354188000.0
March 2020,,12535000.0,-190082000.0,1283794000.0,554820000.0
June 2020,,11276000.0,-43218000.0,1085957000.0,362431000.0
September 2020,,12730000.0,11146000.0,1079011000.0,350489000.0
December 2020,,15879000.0,-21407000.0,1109325000.0,383656000.0
March 2021,,17321000.0,13122000.0,1109790000.0,429001000.0
June 2021,,17100000.0,1695000.0,1148355000.0,462146000.0
September 2021,,10769000.0,-7180000.0,1092268000.0,422465000.0
December 2021,,14149000.0,-3883000.0,1054147000.0,404255000.0
March 2022,,16950000.0,10070000.0,1154918000.0,512249000.0
June 2022,,16721000.0,10844000.0,1083071000.0,474252000.0
