,NetIncomeLoss,Assets
March 2007,203500000.0,
June 2007,203500000.0,
September 2007,203500000.0,
December 2007,203500000.0,
March 2008,191000000.0,
June 2008,210000000.0,
September 2008,-70000000.0,
December 2008,-369000000.0,95577000000.0
March 2009,130000000.0,
June 2009,95000000.0,103214000000.0
September 2009,260000000.0,111201000000.0
December 2009,237000000.0,113774000000.0
March 2010,214000000.0,122377000000.0
June 2010,259000000.0,121110000000.0
September 2010,344000000.0,129044000000.0
December 2010,280000000.0,131192000000.0
March 2011,241000000.0,133832000000.0
June 2011,309000000.0,135138000000.0
September 2011,,130380000000.0
December 2011,,132307000000.0
March 2012,257250000.0,136757000000.0
June 2012,257250000.0,135270000000.0
September 2012,257250000.0,138564000000.0
December 2012,257250000.0,134729000000.0
March 2013,335000000.0,137296000000.0
June 2013,321000000.0,137258000000.0
September 2013,382000000.0,140208000000.0
December 2013,296000000.0,144576000000.0
March 2014,400000000.0,145964000000.0
June 2014,374000000.0,149160000000.0
September 2014,420000000.0,147193000000.0
December 2014,425000000.0,148810000000.0
March 2015,393000000.0,151448000000.0
June 2015,415000000.0,148806000000.0
September 2015,397000000.0,145320000000.0
December 2015,357000000.0,145342000000.0
March 2016,364000000.0,140250000000.0
June 2016,335000000.0,142684000000.0
September 2016,215000000.0,143623000000.0
December 2016,399000000.0,139821000000.0
March 2017,403000000.0,140857000000.0
June 2017,393000000.0,143144000000.0
September 2017,507000000.0,145486000000.0
December 2017,177000000.0,147470000000.0
March 2018,594000000.0,144762000000.0
June 2018,462000000.0,143268000000.0
September 2018,503000000.0,145191000000.0
December 2018,539000000.0,137216000000.0
March 2019,395000000.0,144403000000.0
June 2019,492000000.0,148678000000.0
September 2019,543000000.0,149513000000.0
December 2019,463000000.0,151828000000.0
March 2020,2036000000.0,145682000000.0
June 2020,-539000000.0,154902000000.0
September 2020,-140000000.0,158687000000.0
December 2020,177000000.0,165883000000.0
March 2021,437000000.0,165737000000.0
June 2021,591000000.0,171703000000.0
September 2021,1031000000.0,170726000000.0
December 2021,701000000.0,175979000000.0
March 2022,761000000.0,167525000000.0
June 2022,756000000.0,158497000000.0
