,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2009,36115000.0,-2985750.0,
June 2009,36115000.0,-2985750.0,
September 2009,36115000.0,-2985750.0,
December 2009,36115000.0,-2985750.0,
March 2010,35874000.0,-12078000.0,
June 2010,36765000.0,-7093000.0,
September 2010,36594000.0,-3780000.0,
December 2010,39044000.0,-2509000.0,734421000.0
March 2011,38093000.0,-6473000.0,
June 2011,37546000.0,2689000.0,731384000.0
September 2011,39042000.0,4848000.0,734510000.0
December 2011,38673000.0,7862000.0,753305000.0
March 2012,40703000.0,3955000.0,786551000.0
June 2012,41399000.0,10468000.0,859140000.0
September 2012,42402000.0,3709000.0,940226000.0
December 2012,45149000.0,10704000.0,942399000.0
March 2013,46264000.0,4777000.0,1016813000.0
June 2013,47106000.0,10809000.0,1062733000.0
September 2013,46977000.0,13953000.0,1075021000.0
December 2013,48715000.0,14601000.0,1090340000.0
March 2014,48856000.0,7436000.0,1160666000.0
June 2014,51883000.0,15726000.0,1230450000.0
September 2014,51585000.0,15300000.0,1318788000.0
December 2014,54156000.0,16677000.0,1358804000.0
March 2015,53466000.0,6086000.0,1345699000.0
June 2015,54414000.0,11480000.0,1357203000.0
September 2015,54704000.0,14772000.0,1332974000.0
December 2015,57642000.0,11967000.0,1301087000.0
March 2016,59374000.0,5574000.0,1274791000.0
June 2016,57049000.0,7503000.0,1303552000.0
September 2016,55962000.0,11665000.0,1291825000.0
December 2016,55744000.0,12430000.0,1241611000.0
March 2017,57318000.0,5390000.0,1262686000.0
June 2017,59807000.0,9878000.0,1292061000.0
September 2017,55203000.0,8462000.0,1302213000.0
December 2017,60456000.0,85928000.0,1467717000.0
March 2018,65880000.0,9478000.0,1517298000.0
June 2018,69046000.0,20771000.0,1699648000.0
September 2018,70346000.0,21314000.0,1723976000.0
December 2018,73026000.0,25060000.0,1727181000.0
March 2019,78647000.0,14243000.0,2005592000.0
June 2019,77840000.0,22614000.0,2060247000.0
September 2019,77296000.0,28431000.0,2068835000.0
December 2019,77243000.0,21923000.0,1974610000.0
March 2020,79624000.0,-36968000.0,1880985000.0
June 2020,67861000.0,8815000.0,1779243000.0
September 2020,70040000.0,10103000.0,1731495000.0
December 2020,71739000.0,-14617000.0,1980484000.0
March 2021,68145000.0,4151000.0,2054483000.0
June 2021,77006000.0,15766000.0,2015891000.0
September 2021,74403000.0,29537000.0,2050914000.0
December 2021,70575000.0,53086000.0,2080447000.0
March 2022,78278000.0,16296000.0,2123363000.0
June 2022,82664000.0,26346000.0,2172422000.0
