,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2002,-730.3703703703709,,-117692.14814814816,,
June 2002,-730.3703703703709,,-117692.14814814816,,
September 2002,-730.3703703703709,,-117692.14814814816,,
December 2002,-730.3703703703709,,-117692.14814814816,,
March 2003,-730.3703703703709,,-117692.14814814816,,
June 2003,-730.3703703703709,,-117692.14814814816,,
September 2003,-730.3703703703709,,-117692.14814814816,,
December 2003,-730.3703703703709,,-117692.14814814816,,
March 2004,-730.3703703703709,,-117692.14814814816,,
June 2004,-730.3703703703709,,-117692.14814814816,,
September 2004,-730.3703703703709,,-117692.14814814816,,
December 2004,-730.3703703703709,,-117692.14814814816,,
March 2005,-730.3703703703709,,-117692.14814814816,,
June 2005,-730.3703703703709,,-117692.14814814816,,
September 2005,-730.3703703703709,,-117692.14814814816,,
December 2005,-730.3703703703709,,-117692.14814814816,,
March 2006,-730.3703703703709,,-117692.14814814816,,
June 2006,-730.3703703703709,,-117692.14814814816,,
September 2006,-730.3703703703709,,-117692.14814814816,,
December 2006,-730.3703703703709,,-117692.14814814816,,
March 2007,-730.3703703703709,,-117692.14814814816,,
June 2007,-730.3703703703709,,-117692.14814814816,,
September 2007,-730.3703703703709,,-117692.14814814816,,
December 2007,-730.3703703703709,,-117692.14814814816,,
March 2008,-730.3703703703709,,-117692.14814814816,,
June 2008,-730.3703703703709,,-117692.14814814816,,
September 2008,-730.3703703703709,,-117692.14814814816,,
December 2008,4024.8,2222.222222222222,-5473.999999999907,,
March 2009,4024.8,2222.222222222222,-5473.999999999907,,
June 2009,4024.8,2222.222222222222,-5473.999999999907,,
September 2009,4024.8,2222.222222222222,-5473.999999999907,,
December 2009,4024.8,2222.222222222222,-5473.999999999907,,
March 2010,6725.0,2222.222222222222,-5458.333333333333,,
June 2010,6725.0,2222.222222222222,-5458.333333333333,,
September 2010,2925.0,2222.222222222222,-5458.333333333333,,
December 2010,37226.0,2222.222222222222,-53548.0,1650.0,
March 2011,20206.0,0.0,-24526.0,,
June 2011,-91982.0,0.0,100268.0,,
September 2011,87450.0,58960.0,-92603.0,,
December 2011,2172861.0,0.0,-2239391.0,25014.0,25014.0
March 2012,56277.0,0.0,-60260.0,59961.0,59961.0
June 2012,49849.0,0.0,-54321.0,,
September 2012,73231.0,0.0,-77519.0,33145.0,33145.0
December 2012,40127.0,2000.0,-44415.0,18445.0,18445.0
March 2013,331816.0,0.0,-337349.0,112759.0,112759.0
June 2013,2106975.0,0.0,-2117221.0,393998.0,143998.0
September 2013,714469.0,66342.0,-733952.0,376390.0,122241.0
December 2013,742314.0,26581.0,-767657.0,2113433.0,484338.0
March 2014,1397008.0,55567.0,-1439414.0,2165230.0,566675.0
June 2014,1060510.0,54128.0,-1085615.0,1991364.0,435670.0
September 2014,1064135.0,18885.0,-1126647.0,2270357.0,728178.0
December 2014,1293090.0,15334.0,-1175291.0,2081090.0,520063.0
March 2015,1524422.0,0.0,-1501758.0,6885478.0,511589.0
June 2015,901968.0,0.0,-864273.0,6647170.0,426002.0
September 2015,731221.0,0.0,-858747.0,6782962.0,701391.0
December 2015,1852722.0,0.0,-977850.0,6347005.0,446719.0
March 2016,1443356.0,0.0,-1554969.0,6738376.0,378334.0
June 2016,1461913.0,3892.0,-4360340.0,8001266.0,1785531.0
September 2016,4126205.0,43775.0,-4425812.0,9059536.0,3061404.0
December 2016,3621041.0,30137.0,-3360033.0,8227378.0,2327028.0
March 2017,3835673.0,3183.0,-2545787.0,9261770.0,3519711.0
June 2017,3164813.0,15063.0,-1134050.0,8414289.0,2826509.0
September 2017,3436443.0,8736.0,-1328657.0,7677405.0,2247857.0
December 2017,3478593.0,11829.0,-1495594.0,9030906.0,3721896.0
March 2018,5873187.0,11287.0,-1828892.0,12393370.0,7100904.0
June 2018,8809742.0,23000.0,-1840228.0,9935235.0,4824958.0
