,OperatingExpenses,Assets,AssetsCurrent
March 2019,2160750000.0,,
June 2019,2160750000.0,,
September 2019,2160750000.0,,
December 2019,2160750000.0,18107000000.0,
March 2020,5647000000.0,13391000000.0,
June 2020,942000000.0,12999000000.0,
September 2020,914000000.0,12875000000.0,
December 2020,1034000000.0,12746000000.0,1846000000.0
March 2021,1279000000.0,13127000000.0,2345000000.0
June 2021,1090000000.0,13512000000.0,2945000000.0
September 2021,1250000000.0,13310000000.0,2181000000.0
December 2021,1506000000.0,13303000000.0,2380000000.0
March 2022,1208000000.0,12476000000.0,2593000000.0
June 2022,1422000000.0,12924000000.0,3083000000.0
