,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
December 2018,2516.0,-2516.0,72500.0,72500.0
March 2019,10020.0,-10015.0,587533.0,
June 2019,115319.0,-115288.0,47244617.0,1082431.0
September 2019,136639.0,-136617.0,47418236.0,994687.0
December 2019,76671.0,-15405.0,47559327.0,955351.0
March 2020,132978.0,-132771.0,47701889.0,863263.0
June 2020,80962.0,260651.0,47720174.0,412634.0
September 2020,87281.0,-86687.0,48137608.0,359306.0
December 2020,220285.0,-208619.0,48954047.0,704138.0
March 2021,-133043.0,-131804.0,42742832.0,577932.0
June 2021,-125521.0,-174441.0,43264525.0,504092.0
September 2021,-180831.0,-209743.0,43712052.0,356075.0
December 2021,-244401.0,-253328.0,40606332.0,164863.0
March 2022,-322739.0,-351736.0,41022817.0,33356.0
June 2022,-212219.0,-231350.0,38401010.0,85619.0
