,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
December 2015,512315750.0,42091000.0,,
March 2016,512315750.0,42091000.0,,
June 2016,512315750.0,42091000.0,,
September 2016,512315750.0,42091000.0,6049450000.0,
December 2016,225646000.0,32948000.0,,
March 2017,225646000.0,32948000.0,,
June 2017,225646000.0,32948000.0,,
September 2017,225646000.0,32948000.0,6626009000.0,985889000.0
December 2017,280746000.0,57926000.0,,
March 2018,383062000.0,108084000.0,,
June 2018,206161000.0,-11499000.0,,
September 2018,364503000.0,-181153000.0,7248087000.0,981808000.0
December 2018,332869000.0,48100000.0,5516585000.0,688744000.0
March 2019,441073000.0,112319000.0,5433013000.0,567450000.0
June 2019,208622000.0,-20591000.0,5335425000.0,410678000.0
September 2019,195355000.0,-65799000.0,5431719000.0,409242000.0
December 2019,313668000.0,72530000.0,5701382000.0,643051000.0
March 2020,330568000.0,126084000.0,5648016000.0,566685000.0
June 2020,221798000.0,-14600000.0,5543320000.0,406890000.0
September 2020,179311000.0,-36622000.0,5630417000.0,393171000.0
December 2020,294304000.0,55338000.0,6069697000.0,656773000.0
March 2021,408648000.0,133614000.0,5906769000.0,489224000.0
