,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
December 2007,107473500.0,-74452500.0,
March 2008,107473500.0,-74452500.0,
June 2008,107473500.0,-74452500.0,
September 2008,107473500.0,-74452500.0,
December 2008,80932000.0,-86030000.0,
March 2009,80932000.0,-86030000.0,
June 2009,72070000.0,-472331000.0,
September 2009,79275000.0,-111434000.0,
December 2009,67273000.0,-40754000.0,
March 2010,59549000.0,-40401000.0,
June 2010,67165000.0,27302000.0,
September 2010,69237000.0,50479000.0,
December 2010,61251000.0,3417000.0,
March 2011,67050000.0,-20773000.0,
June 2011,64605000.0,42108000.0,
September 2011,68449000.0,15043000.0,
December 2011,69637000.0,-2786000.0,
March 2012,68256000.0,16872000.0,
June 2012,74892000.0,61643000.0,
September 2012,74472000.0,411417000.0,
December 2012,78047000.0,4432000.0,
March 2013,79550000.0,24674000.0,
June 2013,88870000.0,46595000.0,
September 2013,93465000.0,94905000.0,
December 2013,97870000.0,45580000.0,
March 2014,104320000.0,65222000.0,
June 2014,109981000.0,97707000.0,
September 2014,120345000.0,131524000.0,
December 2014,106314000.0,81325000.0,
March 2015,107685000.0,67930000.0,
June 2015,116175000.0,66749000.0,
September 2015,124934000.0,147163000.0,
December 2015,121796000.0,73180000.0,
March 2016,128340000.0,89054000.0,
June 2016,134984000.0,105483000.0,
September 2016,150262000.0,114378000.0,
December 2016,137095000.0,70416000.0,
March 2017,146752000.0,124638000.0,
June 2017,155212000.0,148563000.0,
September 2017,168760000.0,191878000.0,
December 2017,157267000.0,132107000.0,
March 2018,166652000.0,111810000.0,
June 2018,174071000.0,193258000.0,
September 2018,322240000.0,310976000.0,
December 2018,162238000.0,112050000.0,
March 2019,178371000.0,129324000.0,
June 2019,186709000.0,146318000.0,
September 2019,207230000.0,202315000.0,
December 2019,191753000.0,56876000.0,
March 2020,179417000.0,75670000.0,
June 2020,193477000.0,114761000.0,
September 2020,302795000.0,199317000.0,
December 2020,210739000.0,96499000.0,
March 2021,219170000.0,127866000.0,
June 2021,233915000.0,234932000.0,
September 2021,258199000.0,374330000.0,
December 2021,226870000.0,151904000.0,
March 2022,243637000.0,220593000.0,
June 2022,232865000.0,273467000.0,
