,OperatingExpenses,Assets
March 2008,81067250.0,
June 2008,81067250.0,
September 2008,81067250.0,
December 2008,81067250.0,
March 2009,81302000.0,
June 2009,80901000.0,
September 2009,84416000.0,
December 2009,85457000.0,2887101000.0
March 2010,82951000.0,
June 2010,78657000.0,2855112000.0
September 2010,86668000.0,2878184000.0
December 2010,84853000.0,2871835000.0
March 2011,82283000.0,2877229000.0
June 2011,80593000.0,
September 2011,96980000.0,3171907000.0
December 2011,60676000.0,3180992000.0
March 2012,94159000.0,3170440000.0
June 2012,96265000.0,3144993000.0
September 2012,92670000.0,3209885000.0
December 2012,98035000.0,3350428000.0
March 2013,102082000.0,3420593000.0
June 2013,96338000.0,3539583000.0
September 2013,112458000.0,3896865000.0
December 2013,106616000.0,3807101000.0
March 2014,115269000.0,3819993000.0
June 2014,115039000.0,3876800000.0
September 2014,113196000.0,3895087000.0
December 2014,114834000.0,4004909000.0
March 2015,110624000.0,4009816000.0
June 2015,117410000.0,4039642000.0
September 2015,114383000.0,4462695000.0
December 2015,113084000.0,4485631000.0
March 2016,122211000.0,4514024000.0
June 2016,121159000.0,4564362000.0
September 2016,121406000.0,4475810000.0
December 2016,124602000.0,4561050000.0
March 2017,125031000.0,4548816000.0
June 2017,123720000.0,4560499000.0
September 2017,128899000.0,4560466000.0
December 2017,128163000.0,4623791000.0
March 2018,128778000.0,4695455000.0
June 2018,125897000.0,4652971000.0
September 2018,128365000.0,4688411000.0
December 2018,129759000.0,4675009000.0
March 2019,142136000.0,4726116000.0
June 2019,130109000.0,4742613000.0
September 2019,142020000.0,4890625000.0
December 2019,138666000.0,5138244000.0
March 2020,134282000.0,5130709000.0
June 2020,126442000.0,5056788000.0
September 2020,126350000.0,5204639000.0
December 2020,129145000.0,5209417000.0
March 2021,127068000.0,5205314000.0
June 2021,128282000.0,5237021000.0
September 2021,137464000.0,5754072000.0
December 2021,143430000.0,5695138000.0
March 2022,144645000.0,5685117000.0
June 2022,176702000.0,5682314000.0
