,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
September 2011,50500.0,,
December 2011,50500.0,,
March 2012,1366000.0,,
June 2012,1768000.0,,
September 2012,2848000.0,,
December 2012,11044000.0,66732000.0,7674000.0
March 2013,14246000.0,,
June 2013,24128000.0,,
September 2013,23628000.0,,
December 2013,38380000.0,574992000.0,118704000.0
March 2014,36616000.0,694709000.0,137815000.0
June 2014,41931000.0,687514000.0,99843000.0
September 2014,44798000.0,743867000.0,133361000.0
December 2014,41792000.0,702489000.0,98755000.0
March 2015,39745000.0,670641000.0,95202000.0
June 2015,40264000.0,689255000.0,117036000.0
September 2015,38581000.0,661614000.0,126146000.0
