,OperatingExpenses,NetIncomeLoss,Assets
June 2014,16000.0,-16000.0,
September 2014,28000.0,-28000.0,1000.0
December 2014,136000.0,-136000.0,246000.0
March 2015,330000.0,-319000.0,13966000.0
June 2015,793000.0,-601000.0,75112000.0
September 2015,2716000.0,-1561000.0,124559000.0
December 2015,5376000.0,-2737000.0,145744000.0
March 2016,3580000.0,-85000.0,144367000.0
June 2016,3552000.0,-20000.0,142644000.0
September 2016,3316000.0,232000.0,141034000.0
December 2016,3076000.0,618000.0,140056000.0
March 2017,3542000.0,162000.0,136955000.0
June 2017,4395000.0,-963000.0,134183000.0
September 2017,4001000.0,-396000.0,132422000.0
December 2017,3285000.0,-30000.0,127113000.0
March 2018,,,17342000.0
June 2018,,,17036000.0
September 2018,,,16422000.0
