,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
December 2007,24541500.0,,
March 2008,24541500.0,,
June 2008,24541500.0,,
September 2008,24541500.0,,
December 2008,26142500.0,,
March 2009,26142500.0,,
June 2009,25602000.0,,
September 2009,22089000.0,,
December 2009,27262000.0,762549000.0,426404000.0
March 2010,24138000.0,,
June 2010,24116000.0,,
September 2010,26235000.0,762927000.0,425117000.0
December 2010,25780000.0,781569000.0,469276000.0
March 2011,27826000.0,742497000.0,429776000.0
June 2011,28107000.0,739173000.0,428792000.0
