,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2009,7849000.0,,,
June 2009,7849000.0,,,
September 2009,7849000.0,,,
December 2009,7849000.0,,,
March 2010,15984000.0,,,
June 2010,5422000.0,,,
September 2010,4832000.0,,,
December 2010,-1724000.0,756299000.0,253468000.0,
March 2011,17905000.0,,,
June 2011,6551000.0,781778000.0,295998000.0,
September 2011,4717000.0,780072000.0,275706000.0,
December 2011,-1166000.0,812357000.0,292329000.0,
March 2012,18785000.0,857736000.0,327762000.0,
June 2012,5848000.0,822838000.0,293648000.0,
September 2012,5307000.0,831480000.0,293778000.0,
December 2012,1206000.0,970156000.0,350197000.0,
March 2013,18303000.0,998676000.0,378881000.0,
June 2013,9147000.0,980229000.0,434381000.0,
September 2013,62360000.0,858784000.0,314228000.0,
December 2013,-3947000.0,897458000.0,352123000.0,
March 2014,17289000.0,932431000.0,360244000.0,
June 2014,6107000.0,910878000.0,328433000.0,
September 2014,7688000.0,924478000.0,334471000.0,
December 2014,-1325000.0,991244000.0,379326000.0,611918000.0
March 2015,19168000.0,991033000.0,366421000.0,
June 2015,6645000.0,974539000.0,352070000.0,
September 2015,10200000.0,952007000.0,336232000.0,
December 2015,-1906000.0,998200000.0,372480000.0,625720000.0
March 2016,21768000.0,1016910000.0,392770000.0,624140000.0
June 2016,8129000.0,1122554000.0,458074000.0,664480000.0
September 2016,10854000.0,1052945000.0,383332000.0,669613000.0
December 2016,-686000.0,1118588000.0,441592000.0,676996000.0
March 2017,24874000.0,1111187000.0,432634000.0,678553000.0
June 2017,10998000.0,1150666000.0,428595000.0,722071000.0
September 2017,9658000.0,1128688000.0,403855000.0,724833000.0
December 2017,4847000.0,1176231000.0,448173000.0,728058000.0
March 2018,35851000.0,1214353000.0,463562000.0,750791000.0
June 2018,13106000.0,1210124000.0,446272000.0,763852000.0
September 2018,13586000.0,1189856000.0,423837000.0,766019000.0
December 2018,-973000.0,1183031000.0,423538000.0,759493000.0
March 2019,37469000.0,1377319000.0,457861000.0,919458000.0
June 2019,16592000.0,1376923000.0,458015000.0,918908000.0
September 2019,17806000.0,1397063000.0,447899000.0,949164000.0
December 2019,-1153000.0,1400774000.0,456020000.0,944754000.0
March 2020,36848000.0,1616558000.0,675573000.0,940985000.0
June 2020,21468000.0,1427608000.0,472174000.0,955434000.0
September 2020,20077000.0,1425116000.0,425891000.0,999225000.0
December 2020,-94000.0,1513754000.0,436431000.0,1077323000.0
March 2021,50209000.0,1551843000.0,471475000.0,1080368000.0
June 2021,8607000.0,1656628000.0,509171000.0,1147457000.0
September 2021,21691000.0,1712768000.0,535104000.0,1177664000.0
December 2021,-9620000.0,1627934000.0,451674000.0,1176260000.0
March 2022,58127000.0,1942444000.0,611559000.0,1330885000.0
June 2022,31255000.0,1972597000.0,654042000.0,1318555000.0
