,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
March 2012,41635750.0,-5263750.0,,
June 2012,41635750.0,-5263750.0,,
September 2012,41635750.0,-5263750.0,,
December 2012,41635750.0,-5263750.0,,
March 2013,51417000.0,-4169000.0,,
June 2013,51417000.0,-4169000.0,,
September 2013,62316000.0,-3031000.0,,
December 2013,75110000.0,-4157000.0,196300000.0,163127000.0
March 2014,93362000.0,-28026000.0,,
June 2014,91720000.0,-23375000.0,,
September 2014,102906000.0,-24143000.0,260528000.0,194632000.0
December 2014,170894000.0,-72554000.0,555523000.0,486868000.0
March 2015,130081000.0,-27136000.0,531208000.0,369244000.0
June 2015,140274000.0,-19334000.0,543985000.0,381638000.0
September 2015,160023000.0,-15478000.0,601344000.0,433101000.0
December 2015,191696000.0,-15495000.0,694581000.0,492323000.0
March 2016,221165000.0,-41205000.0,667427000.0,424241000.0
June 2016,237244000.0,-48274000.0,663968000.0,422687000.0
September 2016,263281000.0,-60940000.0,684119000.0,416109000.0
December 2016,282338000.0,-43956000.0,761683000.0,477091000.0
March 2017,293089000.0,-56539000.0,742123000.0,432362000.0
June 2017,307018000.0,-38875000.0,751478000.0,417246000.0
September 2017,354266000.0,-76429000.0,1138140000.0,776595000.0
December 2017,399903000.0,-72771000.0,1213403000.0,816820000.0
March 2018,426893000.0,-107775000.0,1226446000.0,796880000.0
June 2018,480346000.0,-100734000.0,1287268000.0,793961000.0
September 2018,538036000.0,-151726000.0,1299638000.0,763182000.0
December 2018,614727000.0,-143845000.0,1890850000.0,1255936000.0
March 2019,664090000.0,-200389000.0,2113865000.0,1117832000.0
June 2019,730777000.0,-181938000.0,2182100000.0,1056900000.0
September 2019,799630000.0,-272035000.0,3007635000.0,1670701000.0
December 2019,882503000.0,-330638000.0,2953048000.0,1377138000.0
March 2020,841191000.0,-285865000.0,2751421000.0,1278211000.0
June 2020,1021032000.0,273877000.0,4379496000.0,2879027000.0
September 2020,925574000.0,173166000.0,4558440000.0,3043466000.0
December 2020,964203000.0,23822000.0,4570000000.0,3046000000.0
March 2021,976685000.0,18234000.0,4774933000.0,3216875000.0
June 2021,982853000.0,130428000.0,4681224000.0,3133860000.0
September 2021,952526000.0,-78021000.0,4466217000.0,2955193000.0
December 2021,1076936000.0,-201641000.0,4570000000.0,3012000000.0
March 2022,1113000000.0,-319000000.0,4256000000.0,2680000000.0
June 2022,1268000000.0,-378000000.0,4098000000.0,2460000000.0
