,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2013,,600000.0,,,,
June 2013,,400000.0,,,,
September 2013,,400000.0,,,,
December 2013,,,,,,
March 2014,16742000.0,600000.0,4472000.0,-4530000.0,,
June 2014,18896000.0,400000.0,3778000.0,-6203000.0,,
September 2014,22268000.0,1179000.0,6194000.0,-8674000.0,,
December 2014,22655000.0,2677000.0,5012000.0,-8969000.0,256152000.0,27193000.0
March 2015,22531000.0,700000.0,6150000.0,-9235000.0,,
June 2015,37635000.0,3033000.0,8798000.0,2849000.0,780192000.0,99641000.0
September 2015,51122000.0,5060000.0,13804000.0,-23279000.0,755799000.0,84967000.0
December 2015,41443000.0,5583000.0,11336000.0,-8880000.0,711147000.0,73644000.0
March 2016,44441000.0,4663000.0,12683000.0,-21066000.0,686867000.0,67439000.0
June 2016,46956000.0,5179000.0,11001000.0,-18839000.0,666561000.0,67166000.0
September 2016,48325000.0,6675000.0,12970000.0,-21235000.0,648469000.0,61610000.0
December 2016,44148000.0,4829000.0,9454000.0,-20234000.0,634092000.0,58502000.0
March 2017,45591000.0,5304000.0,10281000.0,-12386000.0,616863000.0,50346000.0
June 2017,47758000.0,6141000.0,10345000.0,-20110000.0,632966000.0,67878000.0
September 2017,47304000.0,6467000.0,9742000.0,-4090000.0,639761000.0,70620000.0
December 2017,56800000.0,7803000.0,13647000.0,-8520000.0,697242000.0,82708000.0
March 2018,62618000.0,8625000.0,16777000.0,-9538000.0,702037000.0,101622000.0
June 2018,61798000.0,6855000.0,15350000.0,-5310000.0,702591000.0,111054000.0
September 2018,65416000.0,7894000.0,15284000.0,4347000.0,705510000.0,120119000.0
December 2018,70177000.0,8371000.0,15627000.0,-10345000.0,731342000.0,150743000.0
March 2019,64694000.0,8125000.0,14877000.0,-82000.0,764756000.0,98376000.0
June 2019,72514000.0,8379000.0,14605000.0,-7557000.0,761500000.0,108067000.0
September 2019,73798000.0,8671000.0,16861000.0,-5536000.0,759944000.0,112274000.0
December 2019,69971000.0,9163000.0,15442000.0,1423000.0,762378000.0,115596000.0
March 2020,59496000.0,8231000.0,11640000.0,-14419000.0,750708000.0,132486000.0
June 2020,45537000.0,4931000.0,8609000.0,-42639000.0,792851000.0,192273000.0
September 2020,51686000.0,6180000.0,10862000.0,-11078000.0,777958000.0,192100000.0
December 2020,54457000.0,7444000.0,15352000.0,-17242000.0,740778000.0,159268000.0
March 2021,51944000.0,8060000.0,12608000.0,-5643000.0,730181000.0,162922000.0
June 2021,59409000.0,9009000.0,16300000.0,-5643000.0,736576000.0,175303000.0
September 2021,60266000.0,9269000.0,15913000.0,-5643000.0,737499000.0,183900000.0
December 2021,68374000.0,9970000.0,18928000.0,-5643000.0,732811000.0,185075000.0
March 2022,67179000.0,10210000.0,17951000.0,,679353000.0,135567000.0
June 2022,66771000.0,10040000.0,15975000.0,1542000.0,685908000.0,144823000.0
