,ResearchAndDevelopmentExpense,Assets,AssetsCurrent
March 2009,6542250.0,,
June 2009,6542250.0,,
September 2009,6542250.0,,
December 2009,6542250.0,,
March 2010,6438000.0,,
June 2010,7256000.0,,
September 2010,7215000.0,,
December 2010,6741000.0,109943000.0,62947000.0
March 2011,6853000.0,,
June 2011,7169000.0,118476000.0,73289000.0
September 2011,8594000.0,108448000.0,64382000.0
December 2011,9823000.0,97994000.0,54684000.0
March 2012,10769000.0,136740000.0,94236000.0
June 2012,11114000.0,122129000.0,80398000.0
September 2012,11769000.0,119837000.0,78810000.0
December 2012,13746000.0,125541000.0,85114000.0
March 2013,14090000.0,224365000.0,184453000.0
June 2013,15090000.0,196233000.0,156430000.0
September 2013,20417000.0,180955000.0,139946000.0
December 2013,17804000.0,347095000.0,305189000.0
March 2014,27070000.0,318699000.0,276819000.0
June 2014,24100000.0,297592000.0,255597000.0
September 2014,26185000.0,271665000.0,229825000.0
December 2014,27026000.0,248014000.0,204985000.0
March 2015,25125000.0,407700000.0,364129000.0
June 2015,26490000.0,383217000.0,339541000.0
September 2015,24656000.0,352632000.0,309256000.0
December 2015,23900000.0,337584000.0,294936000.0
March 2016,27447000.0,301931000.0,260955000.0
June 2016,25711000.0,271206000.0,228782000.0
September 2016,25009000.0,251947000.0,209714000.0
December 2016,24559000.0,383358000.0,195569000.0
March 2017,25793000.0,360048000.0,173463000.0
June 2017,24999000.0,346071000.0,160052000.0
September 2017,21915000.0,319418000.0,147317000.0
December 2017,23464000.0,315624000.0,144756000.0
March 2018,21875000.0,191376000.0,130972000.0
June 2018,21448000.0,178377000.0,120280000.0
September 2018,11918000.0,168287000.0,110969000.0
December 2018,11208000.0,155809000.0,99079000.0
March 2019,11151000.0,147577000.0,88851000.0
June 2019,10081000.0,142244000.0,84365000.0
September 2019,11101000.0,131841000.0,75103000.0
December 2019,10339000.0,122933000.0,66698000.0
March 2020,11695000.0,112504000.0,55918000.0
June 2020,9705000.0,261401000.0,208992000.0
September 2020,10708000.0,255770000.0,202925000.0
December 2020,10426000.0,235838000.0,197843000.0
March 2021,12720000.0,219065000.0,181499000.0
June 2021,12356000.0,204551000.0,167606000.0
September 2021,13557000.0,460201000.0,426555000.0
December 2021,14678000.0,444654000.0,410839000.0
March 2022,17056000.0,424041000.0,390699000.0
June 2022,20731000.0,402961000.0,367979000.0
