,ResearchAndDevelopmentExpense,Assets,AssetsCurrent
March 2010,16500000.0,,
June 2010,16500000.0,,
September 2010,16500000.0,,
December 2010,16500000.0,3137000000.0,1416000000.0
March 2011,17500000.0,,
June 2011,17500000.0,3363000000.0,1584000000.0
September 2011,17500000.0,3125000000.0,1437000000.0
December 2011,17500000.0,3108000000.0,1459000000.0
March 2012,17250000.0,3252000000.0,1611000000.0
June 2012,17250000.0,3118000000.0,1541000000.0
September 2012,17250000.0,3441000000.0,1491000000.0
December 2012,17250000.0,3325000000.0,1399000000.0
March 2013,18250000.0,3510000000.0,1538000000.0
June 2013,18250000.0,3477000000.0,1533000000.0
September 2013,18250000.0,3482000000.0,1551000000.0
December 2013,18250000.0,2874000000.0,1433000000.0
March 2014,18000000.0,2950000000.0,1463000000.0
June 2014,18000000.0,2925000000.0,1420000000.0
September 2014,18000000.0,2827000000.0,1366000000.0
December 2014,18000000.0,2672000000.0,1241000000.0
March 2015,16250000.0,2573000000.0,1217000000.0
June 2015,16250000.0,2764000000.0,1387000000.0
September 2015,16250000.0,2598000000.0,1204000000.0
December 2015,16250000.0,2382000000.0,1047000000.0
March 2016,14750000.0,2370000000.0,1065000000.0
June 2016,14750000.0,2309000000.0,1141000000.0
September 2016,14750000.0,2184000000.0,1042000000.0
December 2016,14750000.0,2055000000.0,918000000.0
March 2017,14500000.0,2123000000.0,977000000.0
June 2017,14500000.0,2181000000.0,1016000000.0
September 2017,14500000.0,2156000000.0,999000000.0
December 2017,14500000.0,2097000000.0,940000000.0
March 2018,10750000.0,2145000000.0,1023000000.0
June 2018,10750000.0,2086000000.0,1013000000.0
September 2018,10750000.0,2107000000.0,1058000000.0
December 2018,10750000.0,1961000000.0,931000000.0
March 2019,10500000.0,2142000000.0,1026000000.0
June 2019,10500000.0,2131000000.0,1015000000.0
September 2019,12500000.0,4101000000.0,983000000.0
December 2019,12500000.0,4146000000.0,1002000000.0
March 2020,9500000.0,4097000000.0,1068000000.0
June 2020,9500000.0,4044000000.0,1024000000.0
September 2020,9500000.0,3909000000.0,936000000.0
December 2020,9500000.0,4002000000.0,953000000.0
