,OperatingExpenses,NetIncomeLoss
March 2021,5652510.0,-3645251.0
June 2021,6273410.0,-2314147.0
September 2021,,
December 2021,,
March 2022,8472142.0,-1318723.0
June 2022,8692480.0,-2504726.0
