,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2014,,-72551.5,,
June 2014,,-72551.5,,
September 2014,,-43479.0,,
December 2014,,-50665.0,,
March 2015,,-42496.0,,
June 2015,,-24058.0,,
September 2015,0.0,-24994.0,,
December 2015,0.0,-16104.0,,
March 2016,0.0,-8184.0,,
June 2016,,-36835.0,,
September 2016,30000.0,-51870.0,,
December 2016,0.0,-31173.0,,
March 2017,0.0,-80012.0,,
June 2017,,-34789.0,,
September 2017,0.0,-63408.0,,
December 2017,,-247241.0,,
March 2018,,-73567.0,,
June 2018,,-98899.0,,
September 2018,5752850.0,-69496.0,,
December 2018,5752850.0,-106472.0,,
March 2019,5752850.0,-62769.0,,
June 2019,5752850.0,-23190258.0,,
September 2019,5000.0,-1963457.0,,
December 2019,5000.0,-1146610.0,,
March 2020,0.0,-999275.0,,
June 2020,10237.0,-239513.0,,
September 2020,0.0,-711514.0,,
December 2020,42619.0,-869299.0,,
March 2021,565764.0,-12401690.0,,
June 2021,1024210.0,-2900592.0,,
September 2021,322504.0,-1646274.0,,
December 2021,460723.0,-1692713.0,,
March 2022,,-3099271.0,,
