,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2019,19920750.0,28000.0,,,
June 2019,19920750.0,28000.0,,,
September 2019,19920750.0,28000.0,,,
December 2019,19920750.0,28000.0,,,
March 2020,20276000.0,4134000.0,,,
June 2020,28660000.0,14175000.0,,,
September 2020,32060000.0,19323000.0,,,
December 2020,51288000.0,12126000.0,133855000.0,120313000.0,13542000.0
March 2021,46300000.0,11440000.0,,,
June 2021,106214000.0,-40546000.0,254254000.0,243490000.0,10764000.0
September 2021,64154000.0,6954000.0,284525000.0,268621000.0,15904000.0
December 2021,73570000.0,12596000.0,311751000.0,293339000.0,18412000.0
March 2022,64685000.0,8899000.0,342690000.0,306333000.0,36357000.0
June 2022,76897000.0,4852000.0,353646000.0,315904000.0,37742000.0
