,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2020,274750.0,-15393250.0,,,
June 2020,274750.0,-15393250.0,,,
September 2020,274750.0,-15393250.0,,,
December 2020,274750.0,-15393250.0,158313000.0,130257000.0,28056000.0
March 2021,311000.0,-19186000.0,,,
June 2021,13350000.0,-23557000.0,,,
September 2021,-6138500.0,-23525000.0,,,
December 2021,-6138500.0,-23525000.0,148786000.0,98614000.0,50172000.0
March 2022,465000.0,-20223000.0,124538000.0,72712000.0,51826000.0
June 2022,10563000.0,-18554000.0,108021000.0,57356000.0,50665000.0
