,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
March 2010,,-8853.5,,
June 2010,,-8853.5,,
September 2010,,39276.0,405253.0,405253.0
December 2010,,-9680.0,395573.0,395573.0
March 2011,,-11765.0,390808.0,390808.0
June 2011,,-1176.0,388632.0,388632.0
September 2011,,-20395.0,385035.0,385035.0
December 2011,,-26261.0,340084.0,340084.0
March 2012,,15785.0,331249.0,331249.0
June 2012,,-3016.0,321832.0,321832.0
September 2012,,11112.0,377175.0,377175.0
December 2012,,119100.0,363328.0,361449.0
March 2013,,26316.0,335279.0,333563.0
June 2013,,-12042.0,320555.0,319002.0
September 2013,,-12340.0,307645.0,306256.0
December 2013,,-63743.0,295145.0,293919.0
March 2014,,-48377.0,270640.0,269578.0
June 2014,,-26581.0,220187.0,219288.0
September 2014,,-11139.0,211319.0,210584.0
December 2014,,-20222.0,197083.0,196511.0
March 2015,,-25632.0,163894.0,163485.0
June 2015,,-12533.0,151361.0,151116.0
September 2015,,-12675.0,140716.0,140634.0
December 2015,,-13772.0,124214.0,124214.0
March 2016,,-24181.0,101124.0,101124.0
June 2016,,-11910.0,88823.0,88823.0
September 2016,,-11186.0,76937.0,76937.0
December 2016,,-9428.0,68359.0,68359.0
March 2017,,-23452.0,44622.0,44622.0
June 2017,,-9992.0,34630.0,34630.0
September 2017,,-9655.0,25600.0,25600.0
December 2017,,-11803.0,17602.0,17602.0
March 2018,3578215.0,-26976.0,209693.0,209693.0
June 2018,3578215.0,-11123.0,160457.0,160457.0
September 2018,3578215.0,-8965.0,145765.0,145765.0
December 2018,3578215.0,-8676.0,137089.0,137089.0
March 2019,3289957.0,-1040642.0,115497.0,115497.0
June 2019,3233532.0,-11079.0,103104.0,103104.0
September 2019,2812821.0,-333021.0,88949.0,88949.0
December 2019,2316668.0,-521850.0,8137156.0,
March 2020,1861821.0,-282454.0,6925910.0,
June 2020,1551496.0,-310398.0,6578816.0,
September 2020,1407155.0,-264180.0,6354278.0,
December 2020,1248936.0,-573004.0,5603577.0,
March 2021,1240496.0,-562395.0,4880736.0,
June 2021,1305360.0,-720895.0,4227575.0,
September 2021,820227.0,-347270.0,3990959.0,
December 2021,1178274.0,59500.0,4323870.0,
March 2022,855898.0,-347113.0,3874897.0,
June 2022,826575.0,-351332.0,3528940.0,
