,OperatingExpenses,NetIncomeLoss,AssetsCurrent
March 2015,5891.0,-5891.0,
June 2015,14086.0,-14734.0,
September 2015,9340.0,-10011.0,
December 2015,3710.0,-4405.0,
March 2016,18813.0,-19536.0,
June 2016,6000.0,-6743.0,
September 2016,2352.0,-3107.0,
December 2016,3203.0,-3995.0,
