,OperatingExpenses,NetIncomeLoss,Assets
September 1987,0.0,0.0,
December 1987,0.0,0.0,
March 1988,0.0,0.0,
June 1988,0.0,0.0,
September 1988,0.0,0.0,
December 1988,0.0,0.0,
March 1989,0.0,0.0,
June 1989,0.0,0.0,
September 1989,0.0,0.0,
December 1989,0.0,0.0,
March 1990,0.0,0.0,
June 1990,0.0,0.0,
September 1990,0.0,0.0,
December 1990,0.0,0.0,
March 1991,0.0,0.0,
June 1991,0.0,0.0,
September 1991,0.0,0.0,
December 1991,0.0,0.0,
March 1992,0.0,0.0,
June 1992,0.0,0.0,
September 1992,0.0,0.0,
December 1992,0.0,0.0,
March 1993,0.0,0.0,
June 1993,0.0,0.0,
September 1993,0.0,0.0,
December 1993,0.0,0.0,
March 1994,0.0,0.0,
June 1994,0.0,0.0,
September 1994,0.0,0.0,
December 1994,0.0,0.0,
March 1995,0.0,0.0,
June 1995,0.0,0.0,
September 1995,0.0,0.0,
December 1995,0.0,0.0,
March 1996,0.0,0.0,
June 1996,0.0,0.0,
September 1996,0.0,0.0,
December 1996,0.0,0.0,
March 1997,0.0,0.0,
June 1997,0.0,0.0,
September 1997,1367.6,-1367.6,
December 1997,1367.6,-1367.6,
March 1998,1367.6,-1367.6,
June 1998,1367.6,-1367.6,
September 1998,1367.6,-1367.6,
December 1998,1367.6,-1367.6,
March 1999,1367.6,-1367.6,
June 1999,1367.6,-1367.6,
September 1999,1367.6,-1367.6,
December 1999,1367.6,-1367.6,
March 2000,1367.6,-1367.6,
June 2000,1367.6,-1367.6,
September 2000,1367.6,-1367.6,
December 2000,1367.6,-1367.6,
March 2001,1367.6,-1367.6,
June 2001,1367.6,-1367.6,
September 2001,1367.6,-1367.6,
December 2001,1367.6,-1367.6,
March 2002,1367.6,-1367.6,
June 2002,1367.6,-1367.6,
September 2002,1367.6,-1367.6,
December 2002,1367.6,-1367.6,
March 2003,1367.6,-1367.6,
June 2003,1367.6,-1367.6,
September 2003,1367.6,-1367.6,
December 2003,1367.6,-1367.6,
March 2004,1367.6,-1367.6,
June 2004,1367.6,-1367.6,
September 2004,1367.6,-1367.6,
December 2004,1367.6,-1367.6,
March 2005,1367.6,-1367.6,
June 2005,1367.6,-1367.6,
September 2005,1367.6,-1367.6,
December 2005,1367.6,-1367.6,
March 2006,1367.6,-1367.6,
June 2006,1367.6,-1367.6,
September 2006,1367.6,-1367.6,
December 2006,1367.6,-1367.6,
March 2007,1367.6,-1367.6,
June 2007,1367.6,-1367.6,
September 2007,1367.6,-1367.6,
December 2007,1367.6,-1367.6,
March 2008,1367.6,-1367.6,
June 2008,1367.6,-1367.6,
September 2008,1367.6,-1367.6,
December 2008,1367.6,-1367.6,
March 2009,1367.6,-1367.6,
June 2009,1367.6,-1367.6,
September 2009,1367.6,-1367.6,
December 2009,1367.6,-1367.6,
March 2010,1300.0,-1300.0,
June 2010,715.0,-715.0,
September 2010,1095.0,-1095.0,
December 2010,4550.0,-4550.0,
March 2011,1235.0,-1235.0,
June 2011,868.0,-868.0,
September 2011,1152.0,-1152.0,
December 2011,5469.0,-5469.0,1000.0
March 2012,3217.0,-3217.0,500.0
