,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2008,1032250.0,15974750.0,7908250.0,,,
June 2008,1032250.0,15974750.0,7908250.0,,,
September 2008,1032250.0,15974750.0,7908250.0,,,
December 2008,1032250.0,15974750.0,7908250.0,,,
March 2009,962000.0,15745000.0,5974000.0,,,
June 2009,1246000.0,17380000.0,6098000.0,,,
September 2009,1295000.0,16301000.0,13859000.0,,,
December 2009,1992000.0,17868000.0,13228000.0,425718000.0,221845000.0,155100000.0
March 2010,1487000.0,18164000.0,9476000.0,,,
June 2010,2047000.0,19997000.0,2916000.0,468181000.0,260570000.0,
September 2010,2088000.0,19714000.0,9952000.0,490407000.0,273473000.0,
December 2010,1892000.0,19682000.0,12506000.0,501563000.0,272048000.0,186834000.0
March 2011,1768000.0,20743000.0,8477000.0,508280000.0,267182000.0,
June 2011,1701000.0,20798000.0,11291000.0,520927000.0,261566000.0,
September 2011,1977000.0,22033000.0,14515000.0,530453000.0,265295000.0,
December 2011,2484000.0,24352000.0,4941000.0,552990000.0,277941000.0,234549000.0
March 2012,1744000.0,22202000.0,7738000.0,561103000.0,279747000.0,
June 2012,2524000.0,20568000.0,10884000.0,578361000.0,284132000.0,
September 2012,1941000.0,23874000.0,-4453000.0,571545000.0,277153000.0,
December 2012,1816000.0,18701000.0,9103000.0,577769000.0,273206000.0,
March 2013,1402000.0,19526000.0,9814000.0,572897000.0,270500000.0,
June 2013,1460000.0,17391000.0,12970000.0,574589000.0,272291000.0,
September 2013,1614000.0,19362000.0,11885000.0,588066000.0,283804000.0,
December 2013,1561000.0,20679000.0,11044000.0,590078000.0,281450000.0,
March 2014,1578000.0,20064000.0,,594196000.0,285545000.0,
June 2014,1578000.0,19573000.0,,606759000.0,291181000.0,
September 2014,1638000.0,19544000.0,,599422000.0,279334000.0,
December 2014,1612000.0,21679000.0,,621661000.0,292962000.0,
March 2015,1396000.0,21098000.0,10865750.0,620121000.0,290613000.0,
June 2015,1578000.0,21002000.0,10865750.0,636791000.0,294011000.0,
September 2015,1867000.0,20713000.0,10865750.0,649174000.0,303374000.0,
December 2015,1584000.0,21997000.0,10865750.0,656518000.0,307725000.0,
March 2016,1520000.0,22982000.0,5458000.0,654348000.0,306355000.0,
June 2016,1318000.0,21984000.0,7896000.0,658341000.0,312514000.0,
September 2016,1236000.0,18929000.0,6385000.0,644504000.0,300558000.0,
December 2016,1367000.0,35920000.0,-5942000.0,775218000.0,291590000.0,
March 2017,1385000.0,24817000.0,775000.0,791979000.0,296801000.0,
June 2017,1238000.0,22453000.0,5853000.0,820616000.0,308788000.0,
September 2017,1624000.0,25781000.0,5111000.0,842139000.0,319551000.0,
December 2017,1169000.0,25755000.0,9362000.0,854584000.0,321195000.0,
