,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2020,2808250.0,1595500.0,-2804000.0,,,
June 2020,2808250.0,1595500.0,-2804000.0,,,
September 2020,2808250.0,1595500.0,-2804000.0,,,
December 2020,2808250.0,1595500.0,-2804000.0,9722000.0,9109000.0,613000.0
March 2021,2423000.0,1124000.0,-2296000.0,,,
June 2021,2580000.0,1227000.0,-2577000.0,,,
September 2021,3706000.0,2210000.0,-3657000.0,,,
December 2021,3706000.0,2210000.0,-3657000.0,25987000.0,25329000.0,658000.0
March 2022,3849000.0,1690000.0,-3784000.0,22312000.0,21641000.0,671000.0
June 2022,3260000.0,1394000.0,-3185000.0,19088000.0,18426000.0,662000.0
