,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
March 1995,140023.52459016393,-250.0,,
June 1995,140023.52459016393,-250.0,,
September 1995,140023.52459016393,-250.0,,
December 1995,140023.52459016393,-250.0,,
March 1996,140023.52459016393,-124250.0,,
June 1996,140023.52459016393,-124250.0,,
September 1996,140023.52459016393,-124250.0,,
December 1996,140023.52459016393,-124250.0,,
March 1997,140023.52459016393,-261175.0,,
June 1997,140023.52459016393,-261175.0,,
September 1997,140023.52459016393,-261175.0,,
December 1997,140023.52459016393,-261175.0,,
March 1998,140023.52459016393,-88250.0,,
June 1998,140023.52459016393,-88250.0,,
September 1998,140023.52459016393,-88250.0,,
December 1998,140023.52459016393,-88250.0,,
March 1999,140023.52459016393,-259625.0,,
June 1999,140023.52459016393,-259625.0,,
September 1999,140023.52459016393,-259625.0,,
December 1999,140023.52459016393,-259625.0,,
March 2000,140023.52459016393,-240625.0,,
June 2000,140023.52459016393,-240625.0,,
September 2000,140023.52459016393,-240625.0,,
December 2000,140023.52459016393,-240625.0,,
March 2001,140023.52459016393,-176125.0,,
June 2001,140023.52459016393,-176125.0,,
September 2001,140023.52459016393,-176125.0,,
December 2001,140023.52459016393,-176125.0,,
March 2002,140023.52459016393,-177325.0,,
June 2002,140023.52459016393,-177325.0,,
September 2002,140023.52459016393,-177325.0,,
December 2002,140023.52459016393,-177325.0,,
March 2003,140023.52459016393,-177775.0,,
June 2003,140023.52459016393,-177775.0,,
September 2003,140023.52459016393,-177775.0,,
December 2003,140023.52459016393,-177775.0,,
March 2004,140023.52459016393,-257625.0,,
June 2004,140023.52459016393,-257625.0,,
September 2004,140023.52459016393,-257625.0,,
December 2004,140023.52459016393,-257625.0,,
March 2005,140023.52459016393,-105450.0,,
June 2005,140023.52459016393,-105450.0,,
September 2005,140023.52459016393,-105450.0,,
December 2005,140023.52459016393,-105450.0,,
March 2006,140023.52459016393,-155250.0,,
June 2006,140023.52459016393,-155250.0,,
September 2006,140023.52459016393,-155250.0,,
December 2006,140023.52459016393,-155250.0,,
March 2007,140023.52459016393,-151228.25,,
June 2007,140023.52459016393,-151228.25,,
September 2007,140023.52459016393,-151228.25,,
December 2007,140023.52459016393,-151228.25,,
March 2008,140023.52459016393,-254165.25,,
June 2008,140023.52459016393,-254165.25,,
September 2008,140023.52459016393,-254165.25,,
December 2008,140023.52459016393,-254165.25,,
March 2009,140023.52459016393,-148888.5,,
June 2009,140023.52459016393,-148888.5,,
September 2009,140023.52459016393,-148888.5,,
December 2009,140023.52459016393,-148888.5,,
March 2010,115929.0,-125036.0,,
June 2010,115929.0,-125036.0,,
September 2010,130287.0,-141495.0,,
December 2010,140023.52459016393,-181288.0,74115.0,35629.0
March 2011,102344.0,-102633.0,,
June 2011,129953.0,-196249.0,,
September 2011,134516.0,-143213.0,161680.0,129771.0
December 2011,119659.0,1016899.0,65928.0,59345.0
March 2012,120399.0,-113864.0,73750.0,68819.0
June 2012,126152.0,-119002.0,48001.0,44139.0
September 2012,116617.0,-348879.0,52094.0,49914.0
December 2012,106402.0,-100267.0,38312.0,37286.0
March 2013,100985.0,-95858.0,30386.0,29453.0
June 2013,80932.0,-75657.0,26581.0,25742.0
September 2013,83181.0,-80259.0,13232.0,12486.0
December 2013,83058.0,-77976.0,10162.0,9510.0
March 2014,69440.0,-64550.0,17040.0,16482.0
June 2014,76880.0,-72476.0,4787.0,4322.0
September 2014,50872.0,-46479.0,1306.0,935.0
December 2014,62792.0,-39461.0,867.0,585.0
March 2015,37225.0,-33504.0,5810.0,5558.0
June 2015,77721.0,-73863.0,17343.0,17121.0
September 2015,53686.0,-45140.0,4553.0,4362.0
December 2015,34271.0,-27673.0,3195.0,3195.0
March 2016,19336.0,-16259.0,3189.0,3189.0
June 2016,48957.0,-50344.0,1290.0,1290.0
September 2016,48796.0,-51513.0,1290.0,1290.0
December 2016,47353.0,-49989.0,1290.0,1290.0
March 2017,7515.0,-10531.0,1290.0,1290.0
June 2017,64632.0,-59125.0,1702.0,1702.0
September 2017,7392.0,-11804.0,3014.0,3014.0
December 2017,263444.0,-267777.0,6559.0,6559.0
March 2018,94910.0,-76849.0,9542.0,9542.0
June 2018,58414.0,-5873.0,5902.0,5902.0
September 2018,47124.0,-49935.0,15667.0,15667.0
December 2018,89726.0,-67522.0,54.0,54.0
March 2019,48572.0,-21055.0,27881.0,27881.0
June 2019,59934.0,-60583.0,18314.0,18314.0
September 2019,47331.0,-52605.0,70195.0,70195.0
