,OperatingExpenses,ResearchAndDevelopmentExpense,Assets,AssetsCurrent
March 2010,15720750.0,3506250.0,,
June 2010,15720750.0,3506250.0,,
September 2010,15720750.0,3506250.0,,
December 2010,15720750.0,3506250.0,,
March 2011,20398000.0,4338000.0,,
June 2011,26250000.0,5414000.0,,
September 2011,31024000.0,6475000.0,,
December 2011,40369000.0,7334000.0,,
March 2012,39115000.0,8103000.0,,
June 2012,44378000.0,9391000.0,,
September 2012,51546000.0,11074000.0,,
December 2012,64514000.0,13285000.0,,
March 2013,66223000.0,14464000.0,,
June 2013,72756000.0,16210000.0,,
September 2013,84930000.0,18961000.0,,
December 2013,121196000.0,26260000.0,,
March 2014,121823000.0,29742000.0,,
June 2014,146833000.0,34179000.0,,
September 2014,146700000.0,39534000.0,,
December 2014,182951000.0,47335000.0,,
March 2015,173559000.0,44698000.0,,
June 2015,188854000.0,48308000.0,,
September 2015,216174000.0,56186000.0,,
December 2015,263649000.0,66117000.0,,
March 2016,244595000.0,67371000.0,,
June 2016,251764000.0,67224000.0,,
September 2016,287068000.0,85659000.0,,
December 2016,319306000.0,75596000.0,,
March 2017,281742000.0,71298000.0,,
June 2017,302197000.0,71774000.0,,
September 2017,315301000.0,74080000.0,,
December 2017,338893000.0,83962000.0,,
March 2018,355135000.0,86357000.0,,
June 2018,408413000.0,106739000.0,,
September 2018,441764000.0,117722000.0,,
December 2018,504195000.0,131151000.0,,
March 2019,474013000.0,129290000.0,,
June 2019,505147000.0,134110000.0,,
September 2019,566002000.0,158887000.0,,
December 2019,671113000.0,197513000.0,,
March 2020,594072000.0,192124000.0,,
June 2020,599065000.0,197297000.0,,
September 2020,587309000.0,190222000.0,,
December 2020,681780000.0,211383000.0,,
March 2021,765492000.0,247198000.0,,
June 2021,766766000.0,259709000.0,,
September 2021,764827000.0,265145000.0,,
December 2021,789439000.0,257522000.0,,
March 2022,763612000.0,255691000.0,,
June 2022,782060000.0,257057000.0,,
