,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2009,273004.75,,6123.75,,,
June 2009,273004.75,,6123.75,,,
September 2009,273004.75,,6123.75,,,
December 2009,273004.75,,6123.75,,,
March 2010,301826.5,75557.5,9734.5,,,
June 2010,301826.5,75557.5,9734.5,,,
September 2010,244628.0,56102.0,82679.0,,,
December 2010,336750.0,,27304.0,3278730.0,3180771.0,
March 2011,314473.0,58362.0,489.0,,,
June 2011,319650.0,78062.0,-106054.0,,,
September 2011,285983.0,70600.0,-20081.0,2999998.0,2859137.0,
December 2011,274945.0,61506.0,-4344.0,3023360.0,2913327.0,
March 2012,314714.0,80760.0,24393.0,2988755.0,2881748.0,
June 2012,294352.0,67278.0,-54123.0,2957310.0,2880160.0,
September 2012,260434.0,55210.0,36715.0,3026674.0,2944858.0,
December 2012,279726.0,69192.0,17137.0,2993724.0,2923777.0,
March 2013,290061.0,56805.0,45612.0,2998210.0,2920637.0,
June 2013,286120.0,68670.0,-6291.0,3010662.0,2933160.0,
September 2013,260080.0,64114.0,51956.0,2998975.0,2923683.0,
December 2013,282160.0,85618.0,24920.0,3128744.0,3083670.0,
March 2014,280621.0,58849.0,-5950.0,3117156.0,3036170.0,
June 2014,291441.0,65793.0,12912.0,3136412.0,3024639.0,
September 2014,289237.0,80798.0,-93806.0,3025704.0,2896149.0,
December 2014,319926.0,80935.0,-14946.0,3047553.0,2920845.0,123208.0
March 2015,340483.0,73122.0,-97051.0,2924622.0,2793464.0,
June 2015,316843.0,74107.0,-126570.0,2813765.0,2671605.0,142160.0
September 2015,300496.0,72502.0,-44204.0,2750538.0,2611357.0,
December 2015,229161.0,57395.0,29452.0,2757324.0,2535776.0,
March 2016,279827.0,69135.0,-9826.0,2734240.0,2521828.0,
June 2016,275831.0,76475.0,-2791.0,2770807.0,2562959.0,
September 2016,240637.0,59624.0,-42497.0,2714252.0,2512181.0,
December 2016,244746.0,68266.0,-85582.0,2588103.0,2292628.0,
March 2017,282648.0,80015.0,-84487.0,2547792.0,2257302.0,
June 2017,230290.0,56310.0,-11724.0,2528211.0,2242706.0,
September 2017,229780.0,55511.0,-37781.0,2472214.0,2191694.0,
December 2017,254170.0,60575.0,-313863.0,2114179.0,2082735.0,
March 2018,251768.0,60637.0,-103792.0,2027422.0,1998747.0,
June 2018,192822.0,30791.0,68878.0,2086763.0,2060857.0,
September 2018,195257.0,42965.0,-33535.0,2080728.0,2057591.0,
December 2018,213781.0,45020.0,-47650.0,1904203.0,1852164.0,
March 2019,258964.0,65474.0,-110306.0,2041898.0,1944813.0,
June 2019,217890.0,51478.0,-6219.0,2027000.0,1944835.0,
September 2019,202615.0,48445.0,11769.0,1981634.0,1914389.0,
December 2019,957438.0,,-190957.0,1904203.0,1852164.0,
March 2020,238506.0,54897.0,-110306.0,,,
June 2020,206465.0,50213.0,-81875.0,1798925.0,1776789.0,
September 2020,195729.0,49739.0,-95826.0,,,
December 2020,839173.0,45175.0,-202719.0,1832121.0,1761446.0,
March 2021,240418.0,52700.0,4682.0,2004668.0,1944145.0,
June 2021,248120.0,54249.0,146370.0,2012817.0,1962536.0,
September 2021,225068.0,46534.0,8977.0,1893428.0,1853478.0,
December 2021,244048.0,58914.0,-67040.0,1778454.0,1748174.0,
March 2022,267712.0,45777.0,-4961.0,1738652.0,1718027.0,
June 2022,244845.0,45856.0,-18796.0,1697206.0,1686333.0,
