,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,414264.0,390593.0,-70264.0,,,
June 2010,439453.0,416802.0,-12706.0,,,
September 2010,388501.0,366765.0,99861.0,,,
December 2010,406262.0,385682.0,140763.0,1266116.0,856096.0,6412.0
March 2011,416160.0,396352.0,-78442.0,,,
June 2011,380453.0,363069.0,33005.0,1195461.0,768098.0,4563.0
September 2011,418331.0,397094.0,192620.0,1376303.0,960369.0,3350.0
December 2011,407084.0,397351.0,-126325.0,1226683.0,821902.0,2510.0
March 2012,436192.0,422992.0,189366.0,1621271.0,1218686.0,2089.0
June 2012,317917.6666666667,,77927.66666666667,,,
September 2012,317917.6666666667,,77927.66666666667,,,
December 2012,317917.6666666667,,77927.66666666667,1502683.0,1114771.0,
March 2013,313691.25,,52848.0,,,
June 2013,313691.25,,52848.0,,,
September 2013,313691.25,,52848.0,,,
December 2013,313691.25,,52848.0,1420494.0,1063811.0,
March 2014,342191.75,,-19403.0,,,
June 2014,342191.75,,-19403.0,,,
September 2014,342191.75,,-19403.0,,,
December 2014,342191.75,,-19403.0,1306993.0,774084.0,
March 2015,366921.0,,-19937.0,,,
June 2015,366921.0,,-19937.0,,,
September 2015,366921.0,,-19937.0,,,
December 2015,366921.0,,-19937.0,1367499.0,889943.0,
March 2016,378529.0,358418.0,-46527.0,,,
June 2016,379645.0,359533.0,-10256.0,,,
September 2016,421037.0,398542.0,-60815.0,,,
December 2016,422613.0,,-73266.0,1247748.0,779399.0,
March 2017,384834.0,362658.0,-21273.0,1182078.0,735965.0,
June 2017,366337.0,344055.0,-13354.0,1101824.0,684456.0,
September 2017,393070.0,370867.0,-18291.0,1013580.0,653206.0,
December 2017,372286.0,,-25919.0,1078388.0,710657.0,
March 2018,386872.0,365490.0,-74944.0,956755.0,601923.0,
June 2018,344259.0,318373.0,15954.0,969442.0,627116.0,
September 2018,342955.0,323384.0,18777.0,953354.0,625042.0,
December 2018,332006.0,,3977.0,1013391.0,700574.0,
March 2019,385915.0,367653.0,109426.0,1139140.0,842044.0,
June 2019,363615.0,363615.0,155397.0,1854925.0,957703.0,
September 2019,346082.0,346082.0,-28514.0,1761915.0,911812.0,
December 2019,474298.0,,32491.0,1719231.0,915220.0,
March 2020,,474777.0,-132851.0,1669744.0,887021.0,
June 2020,,420028.0,-86223.0,1755237.0,1016807.0,
September 2020,,429507.0,172556.0,1896524.0,1184730.0,
