,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
June 2012,,-138994.0,,
September 2012,,-138994.0,,
December 2012,,-138994.0,,
March 2013,37017.25,-350723.0,,
June 2013,37017.25,-555345.0,,
September 2013,37017.25,-443191.0,,
December 2013,37017.25,-655249.0,3001924.0,260001.0
March 2014,659682.25,-514478.0,2773910.0,200745.0
June 2014,659682.25,-2557842.0,2949520.0,553832.0
September 2014,659682.25,-621692.0,2511097.0,291916.0
December 2014,659682.25,-1174219.0,7068487.0,224699.0
