,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2010,14858606.0,8577740.0,838604.0,
June 2010,13741220.0,7506396.0,-160988.0,
September 2010,14366629.0,7964288.0,32129.0,
December 2010,15717196.0,8269514.0,-129751.0,126464191.0
March 2011,14955739.0,7753541.0,-74787.0,
June 2011,18106298.0,7612313.0,-3739832.0,127108639.0
September 2011,15863196.0,8023215.0,-1854383.0,120361875.0
December 2011,14001724.0,7477117.0,-5892157.0,107688088.0
March 2012,12178081.0,6557869.0,-1026164.0,103574717.0
June 2012,11916491.0,6419243.0,-839155.0,99420812.0
September 2012,10060186.0,5904035.0,356983.0,95767135.0
