,OperatingExpenses,Assets,AssetsCurrent
March 2010,324884.0,,
June 2010,337255.0,,
September 2010,329278.0,,
December 2010,250024.0,32143566.0,
March 2011,304930.0,,
June 2011,345940.0,31651902.0,
September 2011,332274.0,31502774.0,
December 2011,315925.0,31264873.0,
March 2012,323279.0,31045180.0,
June 2012,336208.0,31593539.0,
September 2012,361846.0,31312738.0,
December 2012,329118.0,31091366.0,
March 2013,327210.0,30928694.0,
June 2013,357992.0,30585866.0,
September 2013,324351.0,30062111.0,
December 2013,209242.0,28887934.0,
March 2014,301248.0,28758148.0,
June 2014,310521.0,29465984.0,
September 2014,366503.0,29459172.0,
December 2014,336292.0,28891190.0,
March 2015,336717.0,28653751.0,
June 2015,487605.0,28593195.0,
September 2015,345213.0,28328174.0,
December 2015,,27209045.0,1780591.0
March 2016,353923.0,27015003.0,
June 2016,378798.0,26772225.0,1847205.0
September 2016,365023.0,26506455.0,2483152.0
December 2016,339138.0,25918524.0,
March 2017,358033.0,25881554.0,
June 2017,331492.0,25634135.0,
September 2017,338321.0,25358145.0,
December 2017,366825.0,25783752.0,
March 2018,317560.0,25308636.0,
June 2018,412432.0,24947659.0,
September 2018,331914.0,24615046.0,
December 2018,1161324.0,23615056.0,2217588.0
March 2019,948147.0,22729350.0,
June 2019,339334.0,22417434.0,
September 2019,625592.0,21899402.0,3316893.0
December 2019,297199.0,21451427.0,21451427.0
March 2020,315207.0,,21362845.0
June 2020,283006.0,21142339.0,3505859.0
September 2020,318125.0,20990878.0,896260.0
December 2020,390713.0,20598962.0,826498.0
March 2021,338641.0,20285554.0,777250.0
June 2021,344319.0,19940831.0,685460.0
September 2021,333795.0,19650295.0,647857.0
December 2021,333989.0,19417390.0,667885.0
March 2022,350431.0,19208148.0,711581.0
June 2022,339022.0,19527562.0,2697614.0
