,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
September 2012,54725000.0,28425000.0,25650000.0,,,
December 2012,54725000.0,28425000.0,25650000.0,,,
March 2013,54725000.0,28425000.0,25650000.0,,,
June 2013,54725000.0,28425000.0,25650000.0,,,
September 2013,56800000.0,31500000.0,25400000.0,2675000.0,,
December 2013,60200000.0,33000000.0,26000000.0,2675000.0,,
March 2014,60300000.0,33800000.0,26500000.0,2675000.0,,
June 2014,70600000.0,36600000.0,30300000.0,2675000.0,492100000.0,286000000.0
September 2014,65100000.0,35000000.0,28300000.0,4300000.0,,
December 2014,70100000.0,35100000.0,31200000.0,-4100000.0,,
March 2015,67900000.0,35000000.0,31800000.0,12200000.0,,
June 2015,78200000.0,35700000.0,37600000.0,-15800000.0,512600000.0,310800000.0
September 2015,69400000.0,34400000.0,34000000.0,-200000.0,649700000.0,453700000.0
December 2015,61900000.0,35000000.0,25800000.0,2800000.0,682000000.0,478700000.0
March 2016,65100000.0,35300000.0,28000000.0,-7600000.0,704900000.0,483300000.0
June 2016,69400000.0,36400000.0,29500000.0,14300000.0,726300000.0,489500000.0
September 2016,64900000.0,36900000.0,25100000.0,-3400000.0,737500000.0,489300000.0
December 2016,73700000.0,38700000.0,31000000.0,11800000.0,796700000.0,527600000.0
March 2017,68500000.0,37300000.0,28100000.0,-56000000.0,1244500000.0,941600000.0
June 2017,63400000.0,35400000.0,26000000.0,-54900000.0,1232900000.0,930300000.0
September 2017,65800000.0,36300000.0,26600000.0,7100000.0,1248400000.0,922500000.0
December 2017,80300000.0,43800000.0,35700000.0,204800000.0,1507400000.0,1053800000.0
March 2018,71500000.0,38200000.0,33200000.0,2700000.0,1518200000.0,1064700000.0
June 2018,74600000.0,38500000.0,32700000.0,33500000.0,1581500000.0,1127200000.0
September 2018,68900000.0,34600000.0,33000000.0,47400000.0,1645000000.0,1181100000.0
December 2018,113300000.0,42800000.0,62700000.0,16300000.0,2796600000.0,1356900000.0
March 2019,164700000.0,57700000.0,55200000.0,-74300000.0,2771400000.0,1418100000.0
June 2019,100600000.0,49500000.0,49400000.0,-25800000.0,2716600000.0,1332800000.0
September 2019,107900000.0,49900000.0,56700000.0,47600000.0,2867800000.0,1423200000.0
December 2019,114300000.0,51000000.0,62400000.0,49100000.0,3221200000.0,1883000000.0
March 2020,115200000.0,48700000.0,61300000.0,43400000.0,3268700000.0,1963000000.0
June 2020,108700000.0,49000000.0,54800000.0,-4600000.0,3292600000.0,2050000000.0
September 2020,106700000.0,50400000.0,56300000.0,67100000.0,3387400000.0,2166700000.0
December 2020,114300000.0,52800000.0,61300000.0,83200000.0,3468200000.0,2266200000.0
March 2021,-81900000.0,57200000.0,65500000.0,225500000.0,3745900000.0,2569800000.0
June 2021,117000000.0,54100000.0,58300000.0,21500000.0,3551600000.0,2436800000.0
September 2021,116300000.0,54100000.0,63300000.0,81500000.0,3519000000.0,2423000000.0
December 2021,122300000.0,53200000.0,69000000.0,56700000.0,3615700000.0,2540100000.0
March 2022,120400000.0,56700000.0,63800000.0,26000000.0,4133500000.0,3100600000.0
June 2022,126300000.0,56700000.0,69600000.0,34700000.0,4162200000.0,3139200000.0
