,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2016,137916.0,137916.0,-169785.0,,,
June 2016,380767.0,380767.0,-409283.0,,,
September 2016,437567.0,437567.0,-525727.0,,,
December 2016,565933.0,565933.0,-666943.0,159170.0,92460.0,
March 2017,479910.0,478968.0,-545677.0,,,
June 2017,672435.0,670387.0,-786275.0,258582.0,144766.0,
September 2017,641343.0,641343.0,-832469.0,299641.0,147216.0,
December 2017,747777.0,739695.0,-1138700.0,294882.0,83990.0,65009.0
March 2018,756587.0,750862.0,-906986.0,1123241.0,642016.0,341066.0
June 2018,1170171.0,1166127.0,-1596736.0,3959862.0,588473.0,3223135.0
September 2018,653659.0,649615.0,-1104699.0,3872364.0,540554.0,3199739.0
December 2018,946101.0,584030.0,-3124458.0,3428810.0,1717222.0,1711588.0
March 2019,690042.0,690042.0,-933983.0,2123997.0,328821.0,1795176.0
