,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2008,,,-668173250.0,
June 2008,,,-668173250.0,
September 2008,,,-668173250.0,
December 2008,,,-668173250.0,
March 2009,,,700648000.0,
June 2009,,,898014000.0,
September 2009,,,-724533000.0,
December 2009,,,-240069000.0,25700772000.0
March 2010,85000000.0,,-1480236000.0,
June 2010,83000000.0,,1295316000.0,33464230000.0
September 2010,84000000.0,,-213398000.0,33272216000.0
December 2010,,,450847000.0,32279011000.0
March 2011,91000000.0,92750000.0,-1274000000.0,32173062000.0
June 2011,98000000.0,92750000.0,137000000.0,31668000000.0
September 2011,88000000.0,92750000.0,444000000.0,29370000000.0
December 2011,,92750000.0,-626000000.0,26873000000.0
March 2012,,170000000.0,10000000.0,26126000000.0
June 2012,,93000000.0,581000000.0,22295000000.0
September 2012,,80000000.0,7000000.0,22132000000.0
December 2012,,88000000.0,636000000.0,21724000000.0
March 2013,,122000000.0,164000000.0,21592000000.0
June 2013,,114000000.0,-178000000.0,18122000000.0
September 2013,,80000000.0,132000000.0,17633000000.0
December 2013,,68000000.0,132000000.0,16953000000.0
March 2014,,56000000.0,256000000.0,16087000000.0
June 2014,,57000000.0,120000000.0,16024000000.0
September 2014,,59000000.0,173000000.0,16201000000.0
December 2014,,67000000.0,20000000.0,16284000000.0
March 2015,,48000000.0,69000000.0,15915000000.0
June 2015,,45000000.0,64000000.0,15510000000.0
September 2015,,46000000.0,-35000000.0,15051000000.0
December 2015,,51000000.0,82000000.0,14855000000.0
March 2016,,45000000.0,-78000000.0,12751000000.0
June 2016,,40000000.0,-27000000.0,12064000000.0
September 2016,,42000000.0,31000000.0,11787000000.0
December 2016,,50000000.0,-264000000.0,11137000000.0
March 2017,,36000000.0,-72000000.0,11017000000.0
June 2017,,40000000.0,-1229000000.0,9767000000.0
September 2017,,29000000.0,-267000000.0,9544000000.0
December 2017,,24000000.0,-37000000.0,9095000000.0
March 2018,,24000000.0,-98000000.0,8893000000.0
June 2018,,23000000.0,-146000000.0,8730000000.0
September 2018,,27000000.0,-45000000.0,8361000000.0
December 2018,,17000000.0,-7000000.0,8076000000.0
March 2019,,30000000.0,-17000000.0,8778000000.0
June 2019,,21000000.0,-207000000.0,8647000000.0
September 2019,,26000000.0,71000000.0,7606000000.0
December 2019,,26000000.0,-206000000.0,7284000000.0
March 2020,,20000000.0,-333000000.0,6632000000.0
June 2020,,25000000.0,-106000000.0,6613000000.0
September 2020,,23000000.0,-58000000.0,6551000000.0
December 2020,,29000000.0,-81000000.0,5751000000.0
March 2021,,28000000.0,-106000000.0,5375000000.0
June 2021,,24000000.0,-61000000.0,5252000000.0
September 2021,,23000000.0,-123000000.0,4816000000.0
December 2021,,,-155000000.0,4696000000.0
March 2022,,,-73000000.0,4443000000.0
June 2022,,,-36000000.0,4067000000.0
