,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2009,4313500.0,,,130000.0,,
June 2009,4313500.0,,,130000.0,,
September 2009,4313500.0,,,130000.0,,
December 2009,4313500.0,,,130000.0,,
March 2010,4466000.0,,,2394000.0,,
June 2010,5255000.0,,,-146000.0,,
September 2010,4233000.0,,,727000.0,,
December 2010,5767000.0,,,1754000.0,,
March 2011,4953000.0,,,6093000.0,,
June 2011,5614000.0,,,1300000.0,,
September 2011,5944000.0,,,6763000.0,,
December 2011,6697000.0,,,10165000.0,,
March 2012,5220000.0,,,8456000.0,,
June 2012,6059000.0,,,6402000.0,,
September 2012,6216000.0,,,-1222000.0,,
December 2012,6016000.0,,,3415000.0,,
March 2013,6414000.0,,,6307000.0,,
June 2013,6426000.0,,,-693000.0,,
September 2013,7505000.0,,,-2628000.0,,
December 2013,5865000.0,,,1782000.0,,
March 2014,6471000.0,,,3737000.0,,
June 2014,7233000.0,,,-3347000.0,,
September 2014,6813000.0,,,-397000.0,,
December 2014,9482000.0,,,-9185000.0,,
March 2015,5533000.0,232750.0,4508750.0,-237000.0,,
June 2015,6195000.0,232750.0,4508750.0,-5848000.0,,
September 2015,7701000.0,232750.0,4508750.0,-5813000.0,,
December 2015,10000000.0,232750.0,4508750.0,-26838000.0,,
March 2016,5965000.0,243500.0,4938250.0,-6443000.0,,
June 2016,6073000.0,243500.0,4938250.0,-9526000.0,,
September 2016,5597000.0,243500.0,4938250.0,-7330000.0,,
December 2016,6241000.0,243500.0,4938250.0,-9854000.0,,
March 2017,5483000.0,98000.0,4804000.0,-2665000.0,,
June 2017,5590000.0,240000.0,4825000.0,-5364000.0,,
September 2017,5694000.0,299000.0,4879000.0,-5281000.0,,
December 2017,9025000.0,865000.0,5155000.0,-7759000.0,,
March 2018,6817000.0,370000.0,5630000.0,-5905000.0,,
June 2018,6436000.0,312000.0,5504000.0,-4589000.0,,
September 2018,5573000.0,175000.0,4819000.0,-5191000.0,,
December 2018,5934000.0,302000.0,4952000.0,-4155000.0,,
March 2019,6197000.0,315000.0,5232000.0,-2415000.0,,
June 2019,5944000.0,498000.0,4795000.0,-3137000.0,,
September 2019,5980000.0,629000.0,3401000.0,-2028000.0,,
December 2019,8875000.0,408000.0,6288000.0,-3708000.0,,
March 2020,8369000.0,410000.0,4654000.0,-6642000.0,,
June 2020,4443000.0,755000.0,2988000.0,-6604000.0,,
September 2020,4547000.0,912000.0,2973000.0,-3590000.0,,
December 2020,4278000.0,926000.0,2033000.0,-3470000.0,,
March 2021,5336000.0,853000.0,3817000.0,-3984000.0,,
June 2021,4823000.0,888000.0,3378000.0,-2660000.0,,
September 2021,5223000.0,826000.0,3903000.0,-2578000.0,,
December 2021,5184000.0,1029000.0,3663000.0,-5863000.0,,
March 2022,5765000.0,1014000.0,4272000.0,-2419000.0,,
June 2022,5089000.0,833000.0,3789000.0,-1920000.0,,
