,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
December 2006,204200000.0,655200000.0,,
March 2007,204200000.0,655200000.0,,
June 2007,204200000.0,655200000.0,,
September 2007,204200000.0,655200000.0,,
December 2007,217200000.0,709700000.0,513200000.0,
March 2008,217200000.0,709700000.0,513200000.0,
June 2008,238100000.0,772000000.0,513200000.0,
September 2008,270600000.0,768800000.0,513200000.0,
December 2008,219400000.0,638900000.0,203900000.0,
March 2009,255700000.0,688000000.0,472300000.0,
June 2009,243300000.0,659500000.0,420000000.0,
September 2009,258600000.0,794200000.0,-223000000.0,
December 2009,235700000.0,642100000.0,243200000.0,
March 2010,266000000.0,733300000.0,547500000.0,
June 2010,256300000.0,751200000.0,617000000.0,
September 2010,294400000.0,842100000.0,457000000.0,
December 2010,268900000.0,665000000.0,514000000.0,
March 2011,298500000.0,828200000.0,904300000.0,
June 2011,312000000.0,815800000.0,712300000.0,
September 2011,346800000.0,859700000.0,670000000.0,
December 2011,312500000.0,709000000.0,532900000.0,
March 2012,352000000.0,881400000.0,1056200000.0,
June 2012,367800000.0,878400000.0,788000000.0,
September 2012,401300000.0,948200000.0,688000000.0,
December 2012,356500000.0,781500000.0,649700000.0,
March 2013,376800000.0,956300000.0,1084000000.0,
June 2013,338700000.0,919800000.0,996500000.0,
September 2013,405300000.0,947900000.0,807000000.0,
December 2013,323700000.0,765900000.0,681000000.0,
March 2014,354100000.0,846500000.0,980700000.0,
June 2014,362100000.0,820700000.0,851000000.0,
September 2014,412100000.0,851300000.0,649000000.0,
December 2014,333200000.0,659000000.0,386800000.0,
March 2015,341100000.0,740000000.0,690500000.0,
June 2015,346800000.0,755300000.0,511600000.0,
September 2015,404000000.0,719000000.0,351000000.0,
December 2015,319300000.0,592900000.0,254400000.0,
March 2016,345000000.0,714800000.0,495400000.0,
June 2016,338800000.0,709000000.0,488800000.0,
September 2016,390600000.0,774500000.0,285000000.0,
December 2016,310900000.0,659400000.0,193800000.0,
March 2017,324400000.0,775300000.0,808500000.0,
June 2017,336800000.0,799100000.0,641800000.0,
September 2017,395600000.0,832800000.0,510000000.0,
December 2017,356800000.0,705000000.0,-535100000.0,
March 2018,415200000.0,939200000.0,1208300000.0,
June 2018,416000000.0,913000000.0,910300000.0,
September 2018,469600000.0,898300000.0,785000000.0,
December 2018,406800000.0,763700000.0,498000000.0,
March 2019,457100000.0,946900000.0,1134900000.0,
June 2019,431000000.0,896000000.0,899000000.0,
September 2019,488100000.0,944400000.0,721000000.0,
December 2019,425000000.0,809000000.0,517000000.0,
March 2020,406000000.0,906000000.0,666000000.0,
June 2020,370000000.0,752000000.0,811000000.0,
September 2020,443000000.0,1010000000.0,757000000.0,
December 2020,366000000.0,769000000.0,1224000000.0,
March 2021,377000000.0,838000000.0,1790000000.0,
June 2021,394000000.0,841000000.0,1667000000.0,
September 2021,450000000.0,935000000.0,1282000000.0,
December 2021,402000000.0,781000000.0,903000000.0,
March 2022,453000000.0,932000000.0,2098000000.0,
June 2022,481000000.0,959000000.0,1884000000.0,
