,OperatingExpenses,Assets
March 2016,1728043.75,
June 2016,1728043.75,
September 2016,1728043.75,
December 2016,1728043.75,
March 2017,1469149.0,
June 2017,1312405.0,
September 2017,1338375.0,
December 2017,1321629.0,122096273.0
March 2018,1281936.0,
June 2018,1196527.0,113549249.0
September 2018,1178572.0,107473424.0
December 2018,1142025.0,105907806.0
March 2019,1059239.0,97675980.0
June 2019,1041369.0,93733808.0
September 2019,1078853.0,96484430.0
December 2019,945101.0,92358800.0
March 2020,1023989.0,98483747.0
June 2020,948559.0,87935269.0
September 2020,910384.0,83793872.0
December 2020,921910.0,86720650.0
March 2021,965733.0,
June 2021,1059860.0,97337393.0
September 2021,1052914.0,95626560.0
December 2021,1008796.0,88987086.0
March 2022,1013866.0,99579914.0
June 2022,1118377.0,102587122.0
