,NetIncomeLoss,Assets,AssetsCurrent
March 1953,-161653.37719298244,,
June 1953,-161653.37719298244,,
September 1953,-161653.37719298244,,
December 1953,-161653.37719298244,,
March 1954,-161653.37719298244,,
June 1954,-161653.37719298244,,
September 1954,-161653.37719298244,,
December 1954,-161653.37719298244,,
March 1955,-161653.37719298244,,
June 1955,-161653.37719298244,,
September 1955,-161653.37719298244,,
December 1955,-161653.37719298244,,
March 1956,-161653.37719298244,,
June 1956,-161653.37719298244,,
September 1956,-161653.37719298244,,
December 1956,-161653.37719298244,,
March 1957,-161653.37719298244,,
June 1957,-161653.37719298244,,
September 1957,-161653.37719298244,,
December 1957,-161653.37719298244,,
March 1958,-161653.37719298244,,
June 1958,-161653.37719298244,,
September 1958,-161653.37719298244,,
December 1958,-161653.37719298244,,
March 1959,-161653.37719298244,,
June 1959,-161653.37719298244,,
September 1959,-161653.37719298244,,
December 1959,-161653.37719298244,,
March 1960,-161653.37719298244,,
June 1960,-161653.37719298244,,
September 1960,-161653.37719298244,,
December 1960,-161653.37719298244,,
March 1961,-161653.37719298244,,
June 1961,-161653.37719298244,,
September 1961,-161653.37719298244,,
December 1961,-161653.37719298244,,
March 1962,-161653.37719298244,,
June 1962,-161653.37719298244,,
September 1962,-161653.37719298244,,
December 1962,-161653.37719298244,,
March 1963,-161653.37719298244,,
June 1963,-161653.37719298244,,
September 1963,-161653.37719298244,,
December 1963,-161653.37719298244,,
March 1964,-161653.37719298244,,
June 1964,-161653.37719298244,,
September 1964,-161653.37719298244,,
December 1964,-161653.37719298244,,
March 1965,-161653.37719298244,,
June 1965,-161653.37719298244,,
September 1965,-161653.37719298244,,
December 1965,-161653.37719298244,,
March 1966,-161653.37719298244,,
June 1966,-161653.37719298244,,
September 1966,-161653.37719298244,,
December 1966,-161653.37719298244,,
March 1967,-161653.37719298244,,
June 1967,-161653.37719298244,,
September 1967,-161653.37719298244,,
December 1967,-161653.37719298244,,
March 1968,-161653.37719298244,,
June 1968,-161653.37719298244,,
September 1968,-161653.37719298244,,
December 1968,-161653.37719298244,,
March 1969,-161653.37719298244,,
June 1969,-161653.37719298244,,
September 1969,-161653.37719298244,,
December 1969,-161653.37719298244,,
March 1970,-161653.37719298244,,
June 1970,-161653.37719298244,,
September 1970,-161653.37719298244,,
December 1970,-161653.37719298244,,
March 1971,-161653.37719298244,,
June 1971,-161653.37719298244,,
September 1971,-161653.37719298244,,
December 1971,-161653.37719298244,,
March 1972,-161653.37719298244,,
June 1972,-161653.37719298244,,
September 1972,-161653.37719298244,,
December 1972,-161653.37719298244,,
March 1973,-161653.37719298244,,
June 1973,-161653.37719298244,,
September 1973,-161653.37719298244,,
December 1973,-161653.37719298244,,
March 1974,-161653.37719298244,,
June 1974,-161653.37719298244,,
September 1974,-161653.37719298244,,
December 1974,-161653.37719298244,,
March 1975,-161653.37719298244,,
June 1975,-161653.37719298244,,
September 1975,-161653.37719298244,,
December 1975,-161653.37719298244,,
March 1976,-161653.37719298244,,
June 1976,-161653.37719298244,,
September 1976,-161653.37719298244,,
December 1976,-161653.37719298244,,
March 1977,-161653.37719298244,,
June 1977,-161653.37719298244,,
September 1977,-161653.37719298244,,
December 1977,-161653.37719298244,,
March 1978,-161653.37719298244,,
June 1978,-161653.37719298244,,
September 1978,-161653.37719298244,,
December 1978,-161653.37719298244,,
March 1979,-161653.37719298244,,
June 1979,-161653.37719298244,,
September 1979,-161653.37719298244,,
December 1979,-161653.37719298244,,
March 1980,-161653.37719298244,,
June 1980,-161653.37719298244,,
September 1980,-161653.37719298244,,
December 1980,-161653.37719298244,,
March 1981,-161653.37719298244,,
June 1981,-161653.37719298244,,
September 1981,-161653.37719298244,,
December 1981,-161653.37719298244,,
March 1982,-161653.37719298244,,
June 1982,-161653.37719298244,,
September 1982,-161653.37719298244,,
December 1982,-161653.37719298244,,
March 1983,-161653.37719298244,,
June 1983,-161653.37719298244,,
