,OperatingExpenses,NetIncomeLoss,AssetsCurrent
March 2012,1955.3333333333333,-1800.0,200.0
June 2012,1800.0,-1800.0,
September 2012,2900.0,-2900.0,200.0
December 2012,1955.3333333333333,-6558.0,32.0
March 2013,1955.3333333333333,2492.0,
June 2013,1100.0,-1100.0,
September 2013,1100.0,-1100.0,
December 2013,,,
