,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2010,226079.0,216162.5,-17013.0,,
June 2010,226079.0,216162.5,-17013.0,,
September 2010,325302.0,295552.0,66441.0,,
December 2010,308123.0,278373.0,231680.0,9473197.0,4568491.0
March 2011,293670.0,263920.0,-12754.0,,
June 2011,334476.0,304726.0,-85710.0,,
September 2011,407553.0,377646.0,-121561.0,9254879.0,4145725.0
December 2011,388216.0,358308.0,-237015.0,8839161.0,3963685.0
March 2012,356476.0,326569.0,-70130.0,8752969.0,3787746.0
June 2012,320348.0,290440.0,-158553.0,8417883.0,3522316.0
September 2012,377198.0,347291.0,-166022.0,8284280.0,3401000.0
