,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,77390.0,654210.0,,,,
June 2010,77390.0,654210.0,,,,
September 2010,70624.0,616573.0,,,,
December 2010,,,,1921782.0,988972.0,888709.0
March 2011,64515.0,722438.0,,,,
June 2011,77228.0,802580.0,,,,
September 2011,82576.0,839927.0,,1651289.0,735696.0,864881.0
December 2011,61823.0,833084.0,,23115411.0,1448272.0,21624502.0
March 2012,61205.0,1102788.0,155431.5,22659766.0,1397811.0,21223585.0
June 2012,87470.0,1032933.0,155431.5,22451852.0,1547268.0,20870500.0
September 2012,84199.0,994537.0,155431.5,22287157.0,1825573.0,20416024.0
December 2012,99662.0,983244.0,155431.5,22404946.0,2290724.0,
March 2013,100445.0,957583.0,140829.25,21920759.0,2081536.0,
June 2013,138835.0,986482.0,140829.25,21583027.0,2128503.0,
September 2013,107948.0,1217376.0,140829.25,,,
December 2013,119678.0,1055811.0,140829.25,21227355.0,2385009.0,
March 2014,113336.0,1206345.0,151165.0,20955475.0,2428233.0,
June 2014,98051.0,1420932.0,109377.0,20995095.0,2610385.0,
September 2014,126300.0,1480957.0,87429.0,20386238.0,2728499.0,
December 2014,134880.0,1428931.0,-326083.0,19492083.0,2947642.0,
March 2015,152987.0,1579073.0,62859.0,18685526.0,2648322.0,
June 2015,116441.0,1700503.0,71573.0,18546092.0,2765222.0,
September 2015,101822.0,1736024.0,119706.0,17626988.0,2295679.0,
December 2015,83690.0,2118081.0,-66284.0,17971048.0,3060695.0,
March 2016,79342.0,1652303.0,427835.0,17831673.0,3398269.0,
June 2016,101879.0,1632584.0,377527.0,17140459.0,3072019.0,
September 2016,89513.0,1576480.0,820972.0,18418176.0,4433197.0,
December 2016,83082.0,1868848.0,138868.0,19011945.0,5148435.0,
March 2017,138047.0,2086169.0,162267.0,19152305.0,5659281.0,
June 2017,126386.0,2359889.0,-79759.0,19312702.0,6122750.0,
September 2017,139185.0,2362601.0,-27930.0,19292441.0,6483723.0,
December 2017,85211.0,2248366.0,-66001.0,19114163.0,6770189.0,
March 2018,193402.0,2585070.0,536798.0,18797067.0,6831421.0,
June 2018,249799.0,2597089.0,-596393.0,19062777.0,7455449.0,
September 2018,373456.0,2559056.0,791968.0,20144560.0,8948806.0,
December 2018,109817.0,3162408.0,485506.0,21193725.0,10206844.0,
March 2019,299180.0,3540870.0,460664.0,21535403.0,10741170.0,
June 2019,178259.0,2939841.0,1054943.0,22928200.0,12594544.0,
September 2019,208253.0,3460319.0,580234.0,23255388.0,13384478.0,
December 2019,135435.0,3354445.0,847535.0,23982981.0,14473935.0,
March 2020,155653.0,2992052.0,116605.0,24791113.0,15524498.0,
June 2020,138599.0,2438635.0,-2206582.0,21917319.0,12528081.0,
September 2020,97081.0,1833723.0,-1297499.0,27146778.0,6668796.0,
December 2020,96346.0,1700520.0,1178589.0,30574594.0,11562833.0,
March 2021,118701.0,2711052.0,88737.0,31115133.0,12621385.0,
June 2021,129859.0,2532655.0,550455.0,31007771.0,13176506.0,
September 2021,156768.0,2740328.0,874236.0,32384680.0,15239020.0,
December 2021,115121.0,2662489.0,598384.0,40452705.0,23890122.0,
March 2022,199070.0,3043359.0,-13962.0,40152056.0,24204981.0,
June 2022,152022.0,3483918.0,-1115641.0,40070869.0,24541004.0,
