,OperatingExpenses,ResearchAndDevelopmentExpense,Assets,AssetsCurrent
March 2007,21878000.0,6240750.0,,
June 2007,21878000.0,6240750.0,,
September 2007,21878000.0,6240750.0,,
December 2007,21878000.0,6240750.0,,
March 2008,22887000.0,7021000.0,,
June 2008,25392000.0,7373000.0,,
September 2008,24832000.0,7660000.0,,
December 2008,25219000.0,7275000.0,188767000.0,101390000.0
March 2009,24247000.0,7470000.0,,
June 2009,24874000.0,7663000.0,201052000.0,115192000.0
September 2009,24933000.0,7599000.0,198237000.0,110392000.0
December 2009,27649000.0,7788000.0,214036000.0,125172000.0
March 2010,28215000.0,8661000.0,315001000.0,181668000.0
June 2010,29065000.0,8149000.0,329221000.0,198033000.0
September 2010,29353000.0,8983000.0,341228000.0,204310000.0
