,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2009,,,,,,
June 2009,,,,,,
September 2009,,,,,,
December 2009,,,,,,
March 2010,,,,,,
June 2010,,,,,,
September 2010,,,,,,
December 2010,,,,,,
March 2011,,,,,,
June 2011,,,,,,
September 2011,,,,,,
December 2011,,,,,,
March 2012,,,,,,
June 2012,,,,,,
September 2012,,,,,,
December 2012,,,,,,
March 2013,,,-983750.0,,,
June 2013,,,-983750.0,,,
September 2013,,,-983750.0,,,
December 2013,,,-983750.0,12546000.0,8044000.0,4502000.0
March 2014,314250.0,,0.0,,,
June 2014,314250.0,,0.0,,,
September 2014,314250.0,,-32000.0,,,
December 2014,314250.0,,-578000.0,13315000.0,6583000.0,6637000.0
March 2015,12059500.0,,-1637000.0,59005000.0,10512000.0,48493000.0
June 2015,12059500.0,,-45470000.0,13397000.0,5125000.0,8272000.0
September 2015,12059500.0,,-4789000.0,20057000.0,10881000.0,9176000.0
December 2015,12059500.0,,-32639000.0,289192000.0,37617000.0,
March 2016,19102000.0,,-6772000.0,286358000.0,33067000.0,
June 2016,19342000.0,,-7184000.0,312088000.0,38124000.0,
September 2016,24875000.0,,-9744000.0,310995000.0,42158000.0,
December 2016,23757000.0,,-5386000.0,311911000.0,43100000.0,
March 2017,26066000.0,644500.0,-12725000.0,316573000.0,52354000.0,
June 2017,34364000.0,644500.0,-20409000.0,317694000.0,54628000.0,
September 2017,31230000.0,644500.0,-14095000.0,311920000.0,49786000.0,
December 2017,,644500.0,-5977000.0,316999000.0,56981000.0,
March 2018,,734000.0,-26682000.0,275228000.0,42809000.0,
June 2018,,1142000.0,2645000.0,279492000.0,49886000.0,
September 2018,,1680000.0,4462000.0,285707000.0,58866000.0,
December 2018,,1723000.0,1643000.0,293269000.0,68392000.0,
March 2019,,2150000.0,1045000.0,299489000.0,65302000.0,
June 2019,,2287000.0,715000.0,301619000.0,70034000.0,
September 2019,,2040000.0,-4463000.0,310668000.0,71988000.0,
December 2019,,1578000.0,956000.0,317093000.0,81515000.0,
March 2020,,2731000.0,408000.0,308254000.0,76042000.0,
June 2020,,3115000.0,452000.0,308401000.0,77518000.0,
September 2020,,3355000.0,1169000.0,305313000.0,77683000.0,
December 2020,,3403000.0,178000.0,310220000.0,86191000.0,
March 2021,,3434000.0,-6258000.0,315287000.0,93967000.0,
June 2021,,3433000.0,-5179000.0,310870000.0,92716000.0,
September 2021,,4464000.0,-2452000.0,309543000.0,94391000.0,
December 2021,,4458000.0,3830000.0,318182000.0,107200000.0,
March 2022,,4556000.0,-2013000.0,306795000.0,96105000.0,
June 2022,,4802000.0,-56944000.0,259140000.0,106483000.0,
