,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
September 2009,45316500.0,9644250.0,34957500.0,,
December 2009,45316500.0,9644250.0,34957500.0,,
March 2010,45316500.0,9644250.0,34957500.0,,
June 2010,45316500.0,9644250.0,34957500.0,513114000.0,
September 2010,41463000.0,9231000.0,31976000.0,,
December 2010,46703000.0,11842000.0,33958000.0,,
March 2011,50457000.0,12436000.0,37116000.0,,
June 2011,52882000.0,11939000.0,39583000.0,584916000.0,405286000.0
September 2011,45247000.0,10880000.0,34367000.0,598272000.0,418076000.0
December 2011,47525000.0,11546000.0,35979000.0,625237000.0,440400000.0
March 2012,50926000.0,12932000.0,37063000.0,721741000.0,485966000.0
June 2012,59004000.0,14207000.0,44337000.0,749896000.0,483113000.0
September 2012,51241000.0,11316000.0,39925000.0,786725000.0,455127000.0
December 2012,51410000.0,11858000.0,36829000.0,813685000.0,446560000.0
March 2013,52424000.0,12386000.0,37752000.0,855602000.0,472153000.0
June 2013,60913000.0,12680000.0,45255000.0,952739000.0,526699000.0
September 2013,57473000.0,11020000.0,42214000.0,952782000.0,547627000.0
December 2013,58910000.0,11175000.0,45556000.0,935270000.0,506149000.0
March 2014,52485000.0,10579000.0,39399000.0,939747000.0,515612000.0
June 2014,54837000.0,12018000.0,39700000.0,1024186000.0,579230000.0
September 2014,57578000.0,12670000.0,44182000.0,1028055000.0,583001000.0
December 2014,63213000.0,13240000.0,47894000.0,1056658000.0,619333000.0
March 2015,54149000.0,12559000.0,37970000.0,1005930000.0,580871000.0
June 2015,58305000.0,13170000.0,41710000.0,979674000.0,541521000.0
September 2015,52274000.0,11881000.0,40393000.0,1014824000.0,596130000.0
December 2015,67283000.0,13045000.0,43141000.0,1010391000.0,607440000.0
March 2016,56715000.0,12945000.0,39233000.0,1075302000.0,644827000.0
June 2016,62213000.0,11945000.0,43888000.0,991723000.0,555318000.0
September 2016,65988000.0,12478000.0,43553000.0,1253013000.0,636181000.0
December 2016,73902000.0,12938000.0,51544000.0,1258005000.0,652575000.0
March 2017,66334000.0,14395000.0,49431000.0,1235737000.0,656567000.0
June 2017,83985000.0,11140000.0,48032000.0,1230087000.0,653000000.0
September 2017,71877000.0,15100000.0,55647000.0,1351524000.0,700830000.0
December 2017,83483000.0,15088000.0,60098000.0,1346759000.0,732511000.0
March 2018,89842000.0,15934000.0,59846000.0,1396031000.0,776336000.0
June 2018,90542000.0,15067000.0,64001000.0,1255691000.0,650697000.0
September 2018,79656000.0,13753000.0,61707000.0,1327928000.0,702023000.0
December 2018,78637000.0,12805000.0,67097000.0,1297677000.0,681202000.0
March 2019,79196000.0,13695000.0,67278000.0,1284115000.0,658836000.0
June 2019,85331000.0,16256000.0,66402000.0,1264864000.0,640899000.0
September 2019,74324000.0,14246000.0,62177000.0,1290102000.0,637136000.0
December 2019,77854000.0,14881000.0,63902000.0,1301926000.0,648289000.0
March 2020,85482000.0,15358000.0,65576000.0,1286594000.0,638370000.0
June 2020,78092000.0,12823000.0,60306000.0,1268541000.0,617709000.0
September 2020,79058000.0,12082000.0,58617000.0,1270948000.0,614793000.0
December 2020,69723000.0,13784000.0,56101000.0,1300803000.0,634424000.0
March 2021,71553000.0,13932000.0,57906000.0,1325960000.0,661410000.0
June 2021,84213000.0,13898000.0,68123000.0,1384367000.0,709404000.0
September 2021,74650000.0,14817000.0,57323000.0,1410639000.0,730210000.0
December 2021,70687000.0,14977000.0,54879000.0,1443106000.0,769790000.0
March 2022,74432000.0,15150000.0,57813000.0,1459091000.0,758536000.0
June 2022,82909000.0,14639000.0,65538000.0,1443150000.0,746144000.0
