,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2009,30118000.0,2282750.0,,,
June 2009,30118000.0,2282750.0,,,
September 2009,30118000.0,2282750.0,,,
December 2009,30118000.0,2282750.0,,,
March 2010,28752000.0,-1900000.0,,,
June 2010,32867000.0,-1214000.0,,,
September 2010,33617000.0,12312000.0,,,
December 2010,35218000.0,15005000.0,,,
March 2011,30638000.0,1886000.0,,,
June 2011,33512000.0,2591000.0,,,
September 2011,37327000.0,14137000.0,,,
December 2011,39967000.0,18737000.0,,,
March 2012,34839000.0,4527000.0,,,
June 2012,42647000.0,2086000.0,,,
September 2012,45674000.0,12667000.0,,,
December 2012,49582000.0,22884000.0,,,
March 2013,43943000.0,2498000.0,,,
June 2013,47285000.0,4739000.0,,,
September 2013,50111000.0,11860000.0,,,
December 2013,47579000.0,26851000.0,,,
March 2014,46820000.0,2496000.0,,,
June 2014,49307000.0,7456000.0,,,
September 2014,52885000.0,15727000.0,,,
December 2014,66500000.0,17513000.0,,,
March 2015,52409000.0,2770000.0,,,
June 2015,52461000.0,3213000.0,,,
September 2015,54835000.0,9653000.0,,,
December 2015,62754000.0,13149000.0,,,
March 2016,53899000.0,-2137000.0,,,
June 2016,55980000.0,-838000.0,,,
September 2016,59265000.0,10695000.0,,,
December 2016,66115000.0,18184000.0,,,
March 2017,58283000.0,-4448000.0,,,
June 2017,60558000.0,-608000.0,,,
September 2017,64559000.0,11922000.0,,,
December 2017,77714000.0,19936000.0,,,
March 2018,64296000.0,-2607000.0,,,
June 2018,65837000.0,4377000.0,,,
September 2018,68479000.0,13823000.0,,,
December 2018,76246000.0,29612000.0,,,
March 2019,65496000.0,793000.0,,,
June 2019,65523000.0,9025000.0,,,
September 2019,70266000.0,19179000.0,,,
December 2019,79471000.0,37884000.0,,,
March 2020,51584000.0,-21101000.0,,,
June 2020,57738000.0,25392000.0,,,
September 2020,67941000.0,29139000.0,,,
December 2020,75814000.0,42797000.0,,,
March 2021,68889000.0,26385000.0,,,
June 2021,73011000.0,23998000.0,,,
September 2021,74822000.0,30702000.0,,,
December 2021,82198000.0,38204000.0,,,
March 2022,71877000.0,-397000.0,,,
June 2022,70109000.0,3067000.0,,,
