,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
September 2016,273000000.0,,
December 2016,273000000.0,,
March 2017,273000000.0,,
June 2017,273000000.0,,
September 2017,263000000.0,,
December 2017,309000000.0,,
March 2018,324000000.0,,
June 2018,313000000.0,13121000000.0,5580000000.0
September 2018,299000000.0,,
December 2018,329000000.0,13466000000.0,5877000000.0
March 2019,336000000.0,17657000000.0,5964000000.0
June 2019,455000000.0,19509000000.0,6478000000.0
September 2019,352000000.0,20534000000.0,7049000000.0
December 2019,431000000.0,20450000000.0,6398000000.0
March 2020,464000000.0,20237000000.0,6744000000.0
June 2020,494000000.0,21750000000.0,7486000000.0
September 2020,388000000.0,22497000000.0,8463000000.0
December 2020,442000000.0,22754000000.0,8440000000.0
March 2021,437000000.0,22907000000.0,8694000000.0
June 2021,540000000.0,22926000000.0,8749000000.0
September 2021,415000000.0,23161000000.0,8875000000.0
December 2021,468000000.0,22878000000.0,8514000000.0
March 2022,485000000.0,22016000000.0,7916000000.0
June 2022,552000000.0,22185000000.0,8281000000.0
