,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2010,,893333.3333333334,,,
June 2010,,893333.3333333334,,,
September 2010,,893333.3333333334,,,
December 2010,30006000.0,609000.0,,,
March 2011,25215000.0,699000.0,,,
June 2011,33898000.0,711000.0,,,
September 2011,22070000.0,397000.0,,,
December 2011,23784000.0,500000.0,,927476000.0,118149000.0
March 2012,28100000.0,515000.0,,,
June 2012,34882000.0,524000.0,,957512000.0,164246000.0
September 2012,28593000.0,661000.0,,944431000.0,157426000.0
December 2012,50832000.0,511000.0,,880757000.0,129143000.0
March 2013,22989000.0,638000.0,,884013000.0,144373000.0
June 2013,33643000.0,575000.0,,859537000.0,135727000.0
September 2013,26422000.0,626000.0,,859220000.0,141496000.0
December 2013,24689000.0,635000.0,,832247000.0,127296000.0
March 2014,26676000.0,608000.0,,840223000.0,138151000.0
June 2014,29485000.0,626000.0,,841167000.0,145601000.0
September 2014,26306000.0,653000.0,1000000.0,824597000.0,143856000.0
December 2014,30340000.0,400000.0,,792989000.0,131349000.0
March 2015,22693000.0,575000.0,,795812000.0,151062000.0
